,Date,Close,Open,High,Low,Increase
0,20091231,0.54,0.54,0.54,0.54,-0.55%
1,20091230,0.543,0.543,0.543,0.543,0.00%
2,20091229,0.543,0.543,0.543,0.543,0.56%
3,20091224,0.54,0.54,0.54,0.54,0.56%
4,20091223,0.537,0.537,0.537,0.537,-0.19%
5,20091222,0.538,0.538,0.538,0.538,1.13%
6,20091221,0.532,0.532,0.532,0.532,2.70%
7,20091218,0.518,0.518,0.518,0.518,-1.71%
8,20091217,0.527,0.527,0.527,0.527,0.00%
9,20091216,0.527,0.527,0.527,0.527,-1.50%
10,20091215,0.535,0.535,0.535,0.535,2.29%
11,20091214,0.523,0.523,0.523,0.523,2.15%
12,20091211,0.512,0.512,0.512,0.512,0.99%
13,20091210,0.507,0.507,0.507,0.507,-0.20%
14,20091209,0.508,0.508,0.508,0.508,0.99%
15,20091208,0.503,0.503,0.503,0.503,-1.37%
16,20091207,0.51,0.51,0.51,0.51,2.62%
17,20091204,0.497,0.497,0.497,0.497,-0.60%
18,20091203,0.5,0.5,0.5,0.5,1.63%
19,20091202,0.492,0.492,0.492,0.492,0.00%
20,20091201,0.492,0.492,0.492,0.492,-0.20%
21,20091130,0.493,0.493,0.493,0.493,-0.80%
22,20091127,0.497,0.497,0.497,0.497,-1.19%
23,20091126,0.503,0.503,0.503,0.503,0.00%
24,20091125,0.503,0.503,0.503,0.503,1.62%
25,20091124,0.495,0.495,0.495,0.495,0.41%
26,20091123,0.493,0.493,0.493,0.493,1.23%
27,20091120,0.487,0.487,0.487,0.487,0.00%
28,20091119,0.487,0.487,0.487,0.487,2.53%
29,20091118,0.475,0.475,0.475,0.475,-6.31%
30,20091117,0.507,0.507,0.507,0.507,2.01%
31,20091116,0.497,0.497,0.497,0.497,0.81%
32,20091113,0.493,0.493,0.493,0.493,0.00%
33,20091112,0.493,0.493,0.493,0.493,0.61%
34,20091111,0.49,0.49,0.49,0.49,-1.01%
35,20091110,0.495,0.495,0.495,0.495,-1.39%
36,20091109,0.502,0.502,0.502,0.502,0.00%
