,Date,Close,Open,High,Low,Increase
0,20091231,1.295,1.295,1.295,1.295,-5.27%
1,20091230,1.367,1.367,1.367,1.367,-4.07%
2,20091229,1.425,1.425,1.425,1.425,8.12%
3,20091224,1.318,1.318,1.318,1.318,-4.28%
4,20091223,1.377,1.377,1.377,1.377,5.60%
5,20091222,1.304,1.304,1.304,1.304,4.57%
6,20091221,1.247,1.247,1.247,1.247,11.14%
7,20091218,1.122,1.122,1.122,1.122,-6.03%
8,20091217,1.194,1.194,1.194,1.194,-3.08%
9,20091216,1.232,1.232,1.232,1.232,-4.72%
10,20091215,1.293,1.293,1.293,1.293,5.46%
11,20091214,1.226,1.226,1.226,1.226,-2.85%
12,20091211,1.262,1.262,1.262,1.262,4.82%
13,20091210,1.204,1.204,1.204,1.204,4.79%
14,20091209,1.149,1.149,1.149,1.149,-2.30%
15,20091208,1.176,1.176,1.176,1.176,-4.31%
16,20091207,1.229,1.229,1.229,1.229,-1.13%
17,20091204,1.243,1.243,1.243,1.243,4.72%
18,20091203,1.187,1.187,1.187,1.187,-1.17%
19,20091202,1.201,1.201,1.201,1.201,1.09%
20,20091201,1.188,1.188,1.188,1.188,-3.57%
21,20091130,1.232,1.232,1.232,1.232,-0.48%
22,20091127,1.238,1.238,1.238,1.238,1.23%
23,20091126,1.223,1.223,1.223,1.223,-3.47%
24,20091125,1.267,1.267,1.267,1.267,-1.71%
25,20091124,1.289,1.289,1.289,1.289,0.86%
26,20091123,1.278,1.278,1.278,1.278,-0.78%
27,20091120,1.288,1.288,1.288,1.288,0.16%
28,20091119,1.286,1.286,1.286,1.286,-3.81%
29,20091118,1.337,1.337,1.337,1.337,-0.15%
30,20091117,1.339,1.339,1.339,1.339,-4.77%
31,20091116,1.406,1.406,1.406,1.406,1.15%
32,20091113,1.39,1.39,1.39,1.39,83.62%
33,20091112,0.757,0.757,0.757,0.757,2.99%
34,20091111,0.735,0.735,0.735,0.735,-2.91%
35,20091110,0.757,0.757,0.757,0.757,-1.82%
36,20091109,0.771,0.771,0.771,0.771,-7.11%
37,20091106,0.83,0.83,0.83,0.83,-9.39%
38,20091105,0.916,0.916,0.916,0.916,-0.76%
39,20091104,0.923,0.923,0.923,0.923,2.56%
40,20091103,0.9,0.9,0.9,0.9,-0.77%
41,20091102,0.907,0.907,0.907,0.907,5.10%
42,20091030,0.863,0.863,0.863,0.863,-3.79%
43,20091029,0.897,0.897,0.897,0.897,6.91%
44,20091028,0.839,0.839,0.839,0.839,-0.83%
45,20091027,0.846,0.846,0.846,0.846,-7.14%
46,20091026,0.911,0.911,0.911,0.911,-2.88%
47,20091023,0.938,0.938,0.938,0.938,-2.70%
48,20091022,0.964,0.964,0.964,0.964,-2.13%
49,20091021,0.985,0.985,0.985,0.985,21.01%
50,20091020,0.814,0.814,0.814,0.814,-4.46%
51,20091019,0.852,0.852,0.852,0.852,-1.62%
52,20091016,0.866,0.866,0.866,0.866,-1.03%
53,20091015,0.875,0.875,0.875,0.875,4.29%
54,20091014,0.839,0.839,0.839,0.839,7.15%
55,20091013,0.783,0.783,0.783,0.783,4.68%
56,20091012,0.748,0.748,0.748,0.748,-7.43%
57,20091009,0.808,0.808,0.808,0.808,16.26%
58,20091008,0.695,0.695,0.695,0.695,-5.70%
59,20091007,0.737,0.737,0.737,0.737,-1.21%
60,20091006,0.746,0.746,0.746,0.746,-1.71%
61,20091005,0.759,0.759,0.759,0.759,2.29%
62,20091002,0.742,0.742,0.742,0.742,-1.20%
63,20091001,0.751,0.751,0.751,0.751,-15.33%
64,20090930,0.887,0.887,0.887,0.887,1.60%
65,20090929,0.873,0.873,0.873,0.873,15.94%
66,20090928,0.753,0.753,0.753,0.753,5.61%
67,20090925,0.713,0.713,0.713,0.713,-8.12%
68,20090924,0.776,0.776,0.776,0.776,-10.08%
69,20090923,0.863,0.863,0.863,0.863,2.01%
70,20090922,0.846,0.846,0.846,0.846,-1.86%
71,20090921,0.862,0.862,0.862,0.862,3.23%
72,20090918,0.835,0.835,0.835,0.835,1.83%
73,20090917,0.82,0.82,0.82,0.82,2.12%
74,20090916,0.803,0.803,0.803,0.803,8.96%
75,20090915,0.737,0.737,0.737,0.737,-16.91%
76,20090914,0.887,0.887,0.887,0.887,0.80%
77,20090911,0.88,0.88,0.88,0.88,-1.79%
78,20090910,0.896,0.896,0.896,0.896,-6.08%
79,20090909,0.954,0.954,0.954,0.954,4.72%
80,20090908,0.911,0.911,0.911,0.911,1.11%
81,20090907,0.901,0.901,0.901,0.901,-2.70%
82,20090904,0.926,0.926,0.926,0.926,-1.80%
83,20090903,0.943,0.943,0.943,0.943,5.84%
84,20090902,0.891,0.891,0.891,0.891,3.85%
85,20090901,0.858,0.858,0.858,0.858,0.82%
86,20090828,0.851,0.851,0.851,0.851,-2.30%
87,20090827,0.871,0.871,0.871,0.871,-5.22%
88,20090826,0.919,0.919,0.919,0.919,6.49%
89,20090825,0.863,0.863,0.863,0.863,-3.14%
90,20090824,0.891,0.891,0.891,0.891,-1.87%
91,20090821,0.908,0.908,0.908,0.908,-0.66%
92,20090820,0.914,0.914,0.914,0.914,-2.56%
93,20090819,0.938,0.938,0.938,0.938,-7.40%
94,20090818,1.013,1.013,1.013,1.013,8.81%
95,20090817,0.931,0.931,0.931,0.931,1.20%
96,20090814,0.92,0.92,0.92,0.92,-7.07%
97,20090813,0.99,0.99,0.99,0.99,-8.08%
98,20090812,1.077,1.077,1.077,1.077,-6.67%
99,20090811,1.154,1.154,1.154,1.154,-1.20%
100,20090810,1.168,1.168,1.168,1.168,-13.74%
101,20090807,1.354,1.354,1.354,1.354,5.70%
102,20090806,1.281,1.281,1.281,1.281,-1.16%
103,20090805,1.296,1.296,1.296,1.296,-2.41%
104,20090804,1.328,1.328,1.328,1.328,2.95%
105,20090803,1.29,1.29,1.29,1.29,5.39%
106,20090731,1.224,1.224,1.224,1.224,-7.97%
107,20090730,1.33,1.33,1.33,1.33,-1.48%
108,20090729,1.35,1.35,1.35,1.35,1.20%
109,20090728,1.334,1.334,1.334,1.334,-3.19%
110,20090727,1.378,1.378,1.378,1.378,3.30%
111,20090724,1.334,1.334,1.334,1.334,-2.77%
112,20090723,1.372,1.372,1.372,1.372,11.09%
113,20090722,1.235,1.235,1.235,1.235,4.22%
114,20090721,1.185,1.185,1.185,1.185,-0.92%
115,20090720,1.196,1.196,1.196,1.196,3.37%
116,20090717,1.157,1.157,1.157,1.157,3.30%
117,20090716,1.12,1.12,1.12,1.12,-4.76%
118,20090715,1.176,1.176,1.176,1.176,5.28%
119,20090714,1.117,1.117,1.117,1.117,5.18%
120,20090713,1.062,1.062,1.062,1.062,-6.10%
121,20090710,1.131,1.131,1.131,1.131,-5.28%
122,20090709,1.194,1.194,1.194,1.194,8.25%
123,20090708,1.103,1.103,1.103,1.103,-6.92%
124,20090707,1.185,1.185,1.185,1.185,-2.31%
125,20090706,1.213,1.213,1.213,1.213,-2.26%
126,20090703,1.241,1.241,1.241,1.241,-4.69%
127,20090702,1.302,1.302,1.302,1.302,-4.62%
128,20090701,1.365,1.365,1.365,1.365,3.41%
129,20090630,1.32,1.32,1.32,1.32,8.73%
130,20090629,1.214,1.214,1.214,1.214,3.85%
131,20090626,1.169,1.169,1.169,1.169,2.27%
132,20090625,1.143,1.143,1.143,1.143,-2.39%
133,20090624,1.171,1.171,1.171,1.171,-4.56%
134,20090623,1.227,1.227,1.227,1.227,-2.62%
135,20090622,1.26,1.26,1.26,1.26,-3.45%
136,20090619,1.305,1.305,1.305,1.305,-5.57%
137,20090618,1.382,1.382,1.382,1.382,2.67%
138,20090617,1.346,1.346,1.346,1.346,-4.61%
139,20090616,1.411,1.411,1.411,1.411,2.10%
140,20090615,1.382,1.382,1.382,1.382,-6.87%
141,20090612,1.484,1.484,1.484,1.484,-3.20%
142,20090611,1.533,1.533,1.533,1.533,5.14%
143,20090610,1.458,1.458,1.458,1.458,-1.62%
144,20090609,1.482,1.482,1.482,1.482,1.37%
145,20090608,1.462,1.462,1.462,1.462,9.43%
146,20090605,1.336,1.336,1.336,1.336,10.05%
147,20090604,1.214,1.214,1.214,1.214,8.30%
148,20090603,1.121,1.121,1.121,1.121,-2.86%
149,20090602,1.154,1.154,1.154,1.154,-3.19%
150,20090601,1.192,1.192,1.192,1.192,13.63%
151,20090529,1.049,1.049,1.049,1.049,-4.90%
152,20090528,1.103,1.103,1.103,1.103,2.13%
153,20090527,1.08,1.08,1.08,1.08,5.47%
154,20090526,1.024,1.024,1.024,1.024,-4.74%
155,20090522,1.075,1.075,1.075,1.075,-1.65%
156,20090521,1.093,1.093,1.093,1.093,1.11%
157,20090520,1.081,1.081,1.081,1.081,5.88%
158,20090519,1.021,1.021,1.021,1.021,-0.97%
159,20090518,1.031,1.031,1.031,1.031,-1.15%
160,20090515,1.043,1.043,1.043,1.043,3.37%
161,20090514,1.009,1.009,1.009,1.009,-2.70%
162,20090513,1.037,1.037,1.037,1.037,-12.64%
163,20090512,1.187,1.187,1.187,1.187,3.58%
164,20090511,1.146,1.146,1.146,1.146,-6.07%
165,20090508,1.22,1.22,1.22,1.22,5.81%
166,20090507,1.153,1.153,1.153,1.153,-0.26%
167,20090506,1.156,1.156,1.156,1.156,5.47%
168,20090505,1.096,1.096,1.096,1.096,0.09%
169,20090501,1.095,1.095,1.095,1.095,4.89%
170,20090430,1.044,1.044,1.044,1.044,-1.32%
171,20090429,1.058,1.058,1.058,1.058,-3.38%
172,20090428,1.095,1.095,1.095,1.095,-7.91%
173,20090427,1.189,1.189,1.189,1.189,-1.16%
174,20090424,1.203,1.203,1.203,1.203,-5.72%
175,20090423,1.276,1.276,1.276,1.276,-9.63%
176,20090422,1.412,1.412,1.412,1.412,-3.16%
177,20090421,1.458,1.458,1.458,1.458,8.97%
178,20090420,1.338,1.338,1.338,1.338,-6.30%
179,20090417,1.428,1.428,1.428,1.428,7.69%
180,20090416,1.326,1.326,1.326,1.326,-2.71%
181,20090415,1.363,1.363,1.363,1.363,6.07%
182,20090414,1.285,1.285,1.285,1.285,-4.89%
183,20090409,1.351,1.351,1.351,1.351,-1.96%
184,20090408,1.378,1.378,1.378,1.378,-5.42%
185,20090407,1.457,1.457,1.457,1.457,-0.68%
186,20090406,1.467,1.467,1.467,1.467,3.60%
187,20090403,1.416,1.416,1.416,1.416,2.68%
188,20090402,1.379,1.379,1.379,1.379,18.47%
189,20090401,1.164,1.164,1.164,1.164,-1.61%
190,20090331,1.183,1.183,1.183,1.183,-0.76%
191,20090330,1.192,1.192,1.192,1.192,-6.29%
192,20090327,1.272,1.272,1.272,1.272,-1.17%
193,20090326,1.287,1.287,1.287,1.287,5.67%
194,20090325,1.218,1.218,1.218,1.218,-2.72%
195,20090324,1.252,1.252,1.252,1.252,-5.22%
196,20090323,1.321,1.321,1.321,1.321,0.46%
197,20090320,1.315,1.315,1.315,1.315,-5.53%
198,20090319,1.392,1.392,1.392,1.392,-4.20%
199,20090318,1.453,1.453,1.453,1.453,0.62%
200,20090317,1.444,1.444,1.444,1.444,-1.37%
201,20090316,1.464,1.464,1.464,1.464,7.10%
202,20090313,1.367,1.367,1.367,1.367,-1.51%
203,20090312,1.388,1.388,1.388,1.388,1.17%
204,20090311,1.372,1.372,1.372,1.372,3.00%
205,20090310,1.332,1.332,1.332,1.332,0.45%
206,20090309,1.326,1.326,1.326,1.326,4.99%
