,Date,Close,Open,High,Low,Increase
0,20091231,4.415,4.415,4.415,4.415,-0.96%
1,20091230,4.458,4.458,4.458,4.458,-0.71%
2,20091229,4.49,4.49,4.49,4.49,1.40%
3,20091224,4.428,4.428,4.428,4.428,-0.23%
4,20091223,4.438,4.438,4.438,4.438,1.81%
5,20091222,4.359,4.359,4.359,4.359,1.56%
6,20091221,4.292,4.292,4.292,4.292,1.25%
7,20091218,4.239,4.239,4.239,4.239,-1.51%
8,20091217,4.304,4.304,4.304,4.304,-0.58%
9,20091216,4.329,4.329,4.329,4.329,-1.05%
10,20091215,4.375,4.375,4.375,4.375,1.04%
11,20091214,4.33,4.33,4.33,4.33,-1.14%
12,20091211,4.38,4.38,4.38,4.38,0.41%
13,20091210,4.362,4.362,4.362,4.362,2.54%
14,20091209,4.254,4.254,4.254,4.254,-0.19%
15,20091208,4.262,4.262,4.262,4.262,0.38%
16,20091207,4.246,4.246,4.246,4.246,-0.21%
17,20091204,4.255,4.255,4.255,4.255,1.00%
18,20091203,4.213,4.213,4.213,4.213,1.10%
19,20091202,4.167,4.167,4.167,4.167,1.07%
20,20091201,4.123,4.123,4.123,4.123,0.63%
21,20091130,4.097,4.097,4.097,4.097,-0.49%
22,20091127,4.117,4.117,4.117,4.117,0.59%
23,20091126,4.093,4.093,4.093,4.093,-1.02%
24,20091125,4.135,4.135,4.135,4.135,0.12%
25,20091124,4.13,4.13,4.13,4.13,-0.02%
26,20091123,4.131,4.131,4.131,4.131,0.12%
27,20091120,4.126,4.126,4.126,4.126,-0.51%
28,20091119,4.147,4.147,4.147,4.147,-0.67%
29,20091118,4.175,4.175,4.175,4.175,-0.02%
30,20091117,4.176,4.176,4.176,4.176,-1.93%
31,20091116,4.258,4.258,4.258,4.258,-1.21%
32,20091113,4.31,4.31,4.31,4.31,0.70%
33,20091112,4.28,4.28,4.28,4.28,0.47%
34,20091111,4.26,4.26,4.26,4.26,-0.51%
35,20091110,4.282,4.282,4.282,4.282,-0.86%
36,20091109,4.319,4.319,4.319,4.319,-0.87%
37,20091106,4.357,4.357,4.357,4.357,0.44%
38,20091105,4.338,4.338,4.338,4.338,0.53%
39,20091104,4.315,4.315,4.315,4.315,1.63%
40,20091103,4.246,4.246,4.246,4.246,1.53%
41,20091102,4.182,4.182,4.182,4.182,1.43%
42,20091030,4.123,4.123,4.123,4.123,-1.48%
43,20091029,4.185,4.185,4.185,4.185,1.90%
44,20091028,4.107,4.107,4.107,4.107,-0.56%
45,20091027,4.13,4.13,4.13,4.13,-1.50%
46,20091026,4.193,4.193,4.193,4.193,-0.47%
47,20091023,4.213,4.213,4.213,4.213,-0.85%
48,20091022,4.249,4.249,4.249,4.249,-0.40%
49,20091021,4.266,4.266,4.266,4.266,3.37%
50,20091020,4.127,4.127,4.127,4.127,-0.77%
51,20091019,4.159,4.159,4.159,4.159,-0.50%
52,20091016,4.18,4.18,4.18,4.18,0.97%
53,20091015,4.14,4.14,4.14,4.14,0.44%
54,20091014,4.122,4.122,4.122,4.122,1.93%
55,20091013,4.044,4.044,4.044,4.044,1.20%
56,20091012,3.996,3.996,3.996,3.996,-1.58%
57,20091009,4.06,4.06,4.06,4.06,2.50%
58,20091008,3.961,3.961,3.961,3.961,-0.68%
59,20091007,3.988,3.988,3.988,3.988,0.18%
60,20091006,3.981,3.981,3.981,3.981,-0.35%
61,20091005,3.995,3.995,3.995,3.995,-0.42%
62,20091002,4.012,4.012,4.012,4.012,-0.57%
63,20091001,4.035,4.035,4.035,4.035,-1.47%
64,20090930,4.095,4.095,4.095,4.095,0.12%
65,20090929,4.09,4.09,4.09,4.09,-0.90%
66,20090928,4.127,4.127,4.127,4.127,0.63%
67,20090925,4.101,4.101,4.101,4.101,-1.77%
68,20090924,4.175,4.175,4.175,4.175,-0.62%
69,20090923,4.201,4.201,4.201,4.201,-0.71%
70,20090922,4.231,4.231,4.231,4.231,1.41%
71,20090921,4.172,4.172,4.172,4.172,-0.22%
72,20090918,4.181,4.181,4.181,4.181,0.05%
73,20090917,4.179,4.179,4.179,4.179,0.36%
74,20090916,4.164,4.164,4.164,4.164,1.78%
75,20090915,4.091,4.091,4.091,4.091,-0.10%
76,20090914,4.095,4.095,4.095,4.095,-0.34%
77,20090911,4.109,4.109,4.109,4.109,-1.63%
78,20090910,4.177,4.177,4.177,4.177,-1.28%
