,Date,Close,Open,High,Low,Increase
0,20220408,0.877,0.869,0.877,0.869,1.50%
1,20220407,0.864,0.864,0.864,0.864,5.24%
2,20220406,0.821,0.821,0.821,0.821,-7.86%
3,20220405,0.891,0.891,0.891,0.891,-13.41%
4,20220404,1.029,1.027,1.029,1.027,0.10%
5,20220401,1.028,1.028,1.028,1.028,-0.29%
6,20220331,1.031,1.031,1.031,1.031,-0.58%
7,20220330,1.037,1.037,1.037,1.037,-0.29%
8,20220329,1.04,1.038,1.04,1.038,10.76%
9,20220328,0.939,0.892,0.939,0.892,6.83%
10,20220325,0.879,0.987,0.987,0.879,-10.67%
11,20220324,0.984,0.984,0.984,0.984,-2.09%
12,20220323,1.005,0.998,1.005,0.998,1.21%
13,20220322,0.993,0.993,0.993,0.993,0.00%
14,20220321,0.993,0.993,0.993,0.993,1.22%
15,20220318,0.981,0.981,0.981,0.981,0.20%
16,20220317,0.979,0.979,0.979,0.979,-0.10%
17,20220316,0.98,0.98,0.98,0.98,-0.10%
18,20220315,0.981,0.981,0.981,0.981,2.51%
19,20220314,0.957,0.97,0.97,0.957,-1.34%
20,20220311,0.97,1.01,1.01,0.97,-3.77%
21,20220310,1.008,1.008,1.008,1.008,-0.10%
22,20220309,1.009,1.009,1.009,1.009,2.44%
23,20220308,0.985,1.003,1.003,0.985,6.95%
24,20220307,0.921,0.921,0.921,0.921,2.91%
25,20220304,0.895,0.891,0.895,0.891,0.56%
26,20220303,0.89,0.882,1.029,0.882,0.34%
27,20220302,0.887,0.877,0.887,0.877,3.14%
28,20220301,0.86,1.605,2.963,0.86,-3.37%
29,20220228,0.89,0.97,0.97,0.823,-8.06%
30,20220225,0.968,0.97,0.97,0.968,-4.54%
31,20220224,1.014,1.056,1.056,1.014,-5.76%
32,20220223,1.076,1.076,1.076,1.076,17.47%
33,20220222,0.916,0.916,0.916,0.916,2.69%
34,20220221,0.892,0.89,0.892,0.89,-0.22%
35,20220218,0.894,0.79,0.894,0.79,12.59%
36,20220217,0.794,0.835,0.835,0.794,-3.29%
37,20220216,0.821,0.855,0.855,0.821,-5.52%
38,20220215,0.869,0.855,0.869,0.855,-2.36%
39,20220214,0.89,0.911,0.911,0.89,-4.20%
40,20220211,0.929,0.79,0.929,0.79,15.55%
41,20220210,0.804,0.786,0.804,0.786,1.77%
42,20220209,0.79,0.79,0.79,0.79,0.64%
43,20220208,0.785,0.804,0.804,0.785,-9.25%
44,20220207,0.865,0.949,0.949,0.81,-10.27%
45,20220204,0.964,0.78,0.964,0.78,44.53%
46,20220203,0.667,0.568,0.667,0.566,11.54%
47,20220202,0.598,0.586,0.598,0.586,0.50%
48,20220201,0.595,0.491,0.595,0.491,11.21%
49,20220131,0.535,0.508,0.535,0.508,11.23%
50,20220128,0.481,0.479,0.481,0.479,17.03%
51,20220127,0.411,0.374,0.411,0.374,15.45%
52,20220126,0.356,0.356,0.356,0.356,-5.82%
53,20220125,0.378,0.378,0.378,0.378,36.96%
54,20220124,0.276,0.276,0.276,0.276,1.85%
55,20220121,0.271,0.271,0.271,0.271,-4.58%
56,20220120,0.284,0.284,0.284,0.284,0.71%
57,20220119,0.282,0.282,0.282,0.282,8.05%
58,20220118,0.261,0.261,0.261,0.261,1.56%
59,20220117,0.257,0.257,0.257,0.257,2.80%
60,20220114,0.25,0.246,0.25,0.246,1.21%
61,20220113,0.247,0.249,0.249,0.247,-13.03%
62,20220112,0.284,0.278,0.284,0.278,14.52%
63,20220111,0.248,0.248,0.248,0.248,-22.01%
64,20220110,0.318,0.305,0.318,0.305,8.53%
65,20220107,0.293,0.289,0.293,0.289,45.05%
66,20220106,0.202,0.191,0.202,0.191,5.21%
67,20220105,0.192,0.499,0.499,0.192,-64.04%
68,20220104,0.534,0.477,0.534,0.185,229.63%
69,20220103,0.162,0.172,0.172,0.162,-5.81%
70,20211231,0.172,0.172,0.172,0.172,-4.44%
71,20211230,0.18,0.18,0.18,0.18,0.56%
72,20211229,0.179,0.179,0.179,0.179,9.48%
73,20211228,0.163,0.163,0.163,0.163,0.00%
74,20211227,0.163,0.163,0.163,0.163,-27.65%
75,20211224,0.226,0.226,0.226,0.226,-0.44%
76,20211223,0.227,0.208,0.227,0.208,22.70%
77,20211222,0.185,0.193,0.193,0.185,13.50%
78,20211221,0.163,0.163,0.163,0.163,-43.01%
79,20211220,0.286,0.286,0.286,0.286,6.32%
80,20211217,0.269,0.199,0.269,0.199,26.89%
81,20211216,0.212,0.11,0.212,0.11,101.90%
82,20211215,0.105,0.061,0.105,0.061,75.00%
83,20211214,0.06,0.058,0.06,0.058,-40.00%
84,20211213,0.1,0.1,0.1,0.1,42.86%
85,20211210,0.07,0.101,0.101,0.07,-31.37%
86,20211209,0.102,0.1,0.102,0.1,466.67%
87,20211208,0.018,0.026,0.026,0.018,-30.77%
88,20211207,0.026,0.046,0.046,0.026,-71.74%
89,20211206,0.092,0.111,0.111,0.092,-14.02%
90,20211203,0.107,0.119,0.119,0.107,-4.46%
91,20211202,0.112,0.112,0.112,0.112,-8.20%
92,20211201,0.122,0.087,0.122,0.087,62.67%
93,20211130,0.075,0.094,0.094,0.075,-25.00%
94,20211129,0.1,0.094,0.1,0.094,28.21%
95,20211126,0.078,0.111,0.111,0.078,-23.53%
96,20211125,0.102,0.102,0.102,0.102,-1.92%
97,20211124,0.104,0.101,0.104,0.101,-0.95%
98,20211123,0.105,0.103,0.105,0.103,0.96%
99,20211122,0.104,0.102,0.104,0.102,0.97%
100,20211119,0.103,0.084,0.103,0.084,19.77%
101,20211118,0.086,0.096,0.096,0.086,-31.75%
102,20211117,0.126,0.126,0.126,0.126,-3.82%
103,20211116,0.131,0.131,0.131,0.131,-0.76%
104,20211115,0.132,0.121,0.132,0.121,0.76%
105,20211112,0.131,0.142,0.142,0.131,-5.76%
106,20211111,0.139,0.139,0.139,0.139,-12.03%
107,20211110,0.158,0.152,0.158,0.152,-9.71%
108,20211109,0.175,0.167,0.175,0.163,4.17%
109,20211108,0.168,0.164,0.168,0.16,28.24%
110,20211105,0.131,0.171,0.171,0.004,-64.21%
111,20211104,0.366,0.366,0.366,0.366,-2.14%
112,20211103,0.374,0.374,0.374,0.374,0.54%
113,20211102,0.372,0.372,0.372,0.372,7.20%
114,20211101,0.347,0.347,0.347,0.347,0.00%
115,20211029,0.347,0.347,0.347,0.347,-9.16%
116,20211028,0.382,0.382,0.382,0.382,26.91%
117,20211027,0.301,0.296,0.301,0.296,0.67%
118,20211026,0.299,0.299,0.299,0.299,31.14%
119,20211025,0.228,0.228,0.228,0.228,-2.15%
120,20211022,0.233,0.233,0.233,0.233,-7.54%
121,20211021,0.252,0.252,0.252,0.252,0.00%
122,20211020,0.252,0.089,0.252,0.089,-0.40%
123,20211019,0.253,0.249,0.253,0.249,23.41%
124,20211018,0.205,0.067,0.205,0.067,286.79%
125,20211015,0.053,0.053,0.053,0.053,70.97%
126,20211014,0.031,0.031,0.031,0.031,-61.73%
