,Date,Close,Open,High,Low,Increase
0,20091231,0.505,0.505,0.505,0.505,0.60%
1,20091230,0.502,0.502,0.502,0.502,0.00%
2,20091229,0.502,0.502,0.502,0.502,0.00%
3,20091224,0.502,0.502,0.502,0.502,-0.20%
4,20091223,0.503,0.503,0.503,0.503,1.21%
5,20091222,0.497,0.497,0.497,0.497,1.43%
6,20091221,0.49,0.49,0.49,0.49,0.62%
7,20091218,0.487,0.487,0.487,0.487,-0.20%
8,20091217,0.488,0.488,0.488,0.488,-0.41%
9,20091216,0.49,0.49,0.49,0.49,0.41%
10,20091215,0.488,0.488,0.488,0.488,1.67%
11,20091214,0.48,0.48,0.48,0.48,0.00%
12,20091211,0.48,0.48,0.48,0.48,0.00%
13,20091210,0.48,0.48,0.48,0.48,0.00%
14,20091209,0.48,0.48,0.48,0.48,0.00%
15,20091208,0.48,0.48,0.48,0.48,0.42%
16,20091207,0.478,0.478,0.478,0.478,0.63%
17,20091204,0.475,0.475,0.475,0.475,0.00%
18,20091203,0.475,0.475,0.475,0.475,0.00%
19,20091202,0.475,0.475,0.475,0.475,0.00%
20,20091201,0.475,0.475,0.475,0.475,-0.42%
21,20091130,0.477,0.477,0.477,0.477,-1.65%
22,20091127,0.485,0.485,0.485,0.485,1.68%
23,20091126,0.477,0.477,0.477,0.477,0.85%
24,20091125,0.473,0.473,0.473,0.473,-0.84%
25,20091124,0.477,0.477,0.477,0.477,-0.21%
26,20091123,0.478,0.478,0.478,0.478,0.63%
27,20091120,0.475,0.475,0.475,0.475,0.64%
28,20091119,0.472,0.472,0.472,0.472,1.51%
29,20091118,0.465,0.465,0.465,0.465,-1.69%
30,20091117,0.473,0.473,0.473,0.473,0.64%
31,20091116,0.47,0.47,0.47,0.47,-0.42%
32,20091113,0.472,0.472,0.472,0.472,0.00%
33,20091112,0.472,0.472,0.472,0.472,0.43%
34,20091111,0.47,0.47,0.47,0.47,-1.05%
35,20091110,0.475,0.475,0.475,0.475,0.42%
36,20091109,0.473,0.473,0.473,0.473,0.21%
37,20091106,0.472,0.472,0.472,0.472,2.61%
38,20091105,0.46,0.46,0.46,0.46,-0.65%
39,20091104,0.463,0.463,0.463,0.463,-0.86%
40,20091103,0.467,0.467,0.467,0.467,-0.21%
41,20091102,0.468,0.468,0.468,0.468,0.65%
42,20091030,0.465,0.465,0.465,0.465,0.00%
43,20091029,0.465,0.465,0.465,0.465,0.65%
44,20091028,0.462,0.462,0.462,0.462,-0.22%
45,20091027,0.463,0.463,0.463,0.463,-2.94%
46,20091026,0.477,0.477,0.477,0.477,-2.05%
47,20091023,0.487,0.487,0.487,0.487,-1.02%
48,20091022,0.492,0.492,0.492,0.492,1.86%
49,20091021,0.483,0.483,0.483,0.483,0.63%
50,20091020,0.48,0.48,0.48,0.48,0.63%
51,20091019,0.477,0.477,0.477,0.477,0.00%
52,20091016,0.477,0.477,0.477,0.477,1.49%
53,20091015,0.47,0.47,0.47,0.47,0.43%
54,20091014,0.468,0.468,0.468,0.468,1.74%
55,20091013,0.46,0.46,0.46,0.46,0.44%
56,20091012,0.458,0.458,0.458,0.458,0.22%
57,20091009,0.457,0.457,0.457,0.457,0.44%
58,20091008,0.455,0.455,0.455,0.455,-0.44%
59,20091007,0.457,0.457,0.457,0.457,0.44%
60,20091006,0.455,0.455,0.455,0.455,1.11%
61,20091005,0.45,0.45,0.45,0.45,1.12%
62,20091002,0.445,0.445,0.445,0.445,-0.67%
63,20091001,0.448,0.448,0.448,0.448,0.67%
64,20090930,0.445,0.445,0.445,0.445,5.95%
65,20090929,0.42,0.42,0.42,0.42,3.70%
66,20090928,0.405,0.405,0.405,0.405,-2.88%
67,20090925,0.417,0.417,0.417,0.417,1.71%
68,20090924,0.41,0.41,0.41,0.41,-0.49%
69,20090923,0.412,0.412,0.412,0.412,1.73%
70,20090922,0.405,0.405,0.405,0.405,0.00%
71,20090921,0.405,0.405,0.405,0.405,-2.41%
72,20090918,0.415,0.415,0.415,0.415,-0.72%
73,20090917,0.418,0.418,0.418,0.418,1.95%
74,20090916,0.41,0.41,0.41,0.41,-4.65%
75,20090915,0.43,0.43,0.43,0.43,-1.83%
76,20090914,0.438,0.438,0.438,0.438,0.23%
77,20090911,0.437,0.437,0.437,0.437,3.31%
78,20090910,0.423,0.423,0.423,0.423,-0.47%
79,20090909,0.425,0.425,0.425,0.425,-0.70%
80,20090908,0.428,0.428,0.428,0.428,1.42%
81,20090907,0.422,0.422,0.422,0.422,-2.31%
82,20090904,0.432,0.432,0.432,0.432,-2.26%
83,20090903,0.442,0.442,0.442,0.442,0.00%
84,20090902,0.442,0.442,0.442,0.442,0.45%
85,20090901,0.44,0.44,0.44,0.44,-2.22%
86,20090828,0.45,0.45,0.45,0.45,0.00%
87,20090827,0.45,0.45,0.45,0.45,0.00%
88,20090826,0.45,0.45,0.45,0.45,0.45%
89,20090825,0.448,0.448,0.448,0.448,-1.10%
90,20090824,0.453,0.453,0.453,0.453,1.12%
91,20090821,0.448,0.448,0.448,0.448,-1.54%
92,20090820,0.455,0.455,0.455,0.455,-1.73%
93,20090819,0.463,0.463,0.463,0.463,-0.43%
94,20090818,0.465,0.465,0.465,0.465,0.00%
95,20090817,0.465,0.465,0.465,0.465,0.00%
96,20090814,0.465,0.465,0.465,0.465,0.43%
97,20090813,0.463,0.463,0.463,0.463,-7.95%
98,20090812,0.503,0.503,0.503,0.503,0.20%
99,20090811,0.502,0.502,0.502,0.502,-0.99%
100,20090810,0.507,0.507,0.507,0.507,-1.17%
101,20090807,0.513,0.513,0.513,0.513,8.69%
102,20090806,0.472,0.472,0.472,0.472,-0.63%
103,20090805,0.475,0.475,0.475,0.475,-1.04%
104,20090804,0.48,0.48,0.48,0.48,1.69%
105,20090803,0.472,0.472,0.472,0.472,1.51%
106,20090731,0.465,0.465,0.465,0.465,0.43%
107,20090730,0.463,0.463,0.463,0.463,-1.49%
108,20090729,0.47,0.47,0.47,0.47,-2.49%
109,20090728,0.482,0.482,0.482,0.482,0.42%
110,20090727,0.48,0.48,0.48,0.48,-0.62%
111,20090724,0.483,0.483,0.483,0.483,0.00%
112,20090723,0.483,0.483,0.483,0.483,-0.41%
113,20090722,0.485,0.485,0.485,0.485,0.41%
114,20090721,0.483,0.483,0.483,0.483,-0.41%
115,20090720,0.485,0.485,0.485,0.485,0.62%
116,20090717,0.482,0.482,0.482,0.482,-0.62%
117,20090716,0.485,0.485,0.485,0.485,0.41%
118,20090715,0.483,0.483,0.483,0.483,-2.03%
119,20090714,0.493,0.493,0.493,0.493,-1.99%
120,20090713,0.503,0.503,0.503,0.503,1.00%
121,20090710,0.498,0.498,0.498,0.498,-0.80%
122,20090709,0.502,0.502,0.502,0.502,-0.20%
