,L,U
19910210,6.25,6.25
19910211,6.25,6.25
19910212,6.25,6.25
19910213,6.25,6.25
19910214,6.25,6.25
19910215,6.25,6.25
19910216,6.25,6.25
19910217,6.25,6.25
19910218,6.25,6.25
19910219,6.25,6.25
19910220,6.25,6.25
19910221,6.25,6.25
19910222,6.25,6.25
19910223,6.25,6.25
19910224,6.25,6.25
19910225,6.25,6.25
19910226,6.25,6.25
19910227,6.25,6.25
19910228,6.25,6.25
19910301,6.25,6.25
19910302,6.25,6.25
19910303,6.25,6.25
19910304,6.25,6.25
19910305,6.25,6.25
19910306,6.25,6.25
19910307,6.25,6.25
19910308,6.0,6.0
19910309,6.0,6.0
19910310,6.0,6.0
19910311,6.0,6.0
19910312,6.0,6.0
19910313,6.0,6.0
19910314,6.0,6.0
19910315,6.0,6.0
19910316,6.0,6.0
19910317,6.0,6.0
19910318,6.0,6.0
19910319,6.0,6.0
19910320,6.0,6.0
19910321,6.0,6.0
19910322,6.0,6.0
19910323,6.0,6.0
19910324,6.0,6.0
19910325,6.0,6.0
19910326,6.0,6.0
19910327,6.0,6.0
19910328,6.0,6.0
19910329,6.0,6.0
19910330,6.0,6.0
19910331,6.0,6.0
19910401,6.0,6.0
19910402,6.0,6.0
19910403,6.0,6.0
19910404,6.0,6.0
19910405,6.0,6.0
19910406,6.0,6.0
19910407,6.0,6.0
19910408,6.0,6.0
19910409,6.0,6.0
19910410,6.0,6.0
19910411,6.0,6.0
19910412,6.0,6.0
19910413,6.0,6.0
19910414,6.0,6.0
19910415,6.0,6.0
19910416,6.0,6.0
19910417,6.0,6.0
19910418,6.0,6.0
19910419,6.0,6.0
19910420,6.0,6.0
19910421,6.0,6.0
19910422,6.0,6.0
19910423,6.0,6.0
19910424,6.0,6.0
19910425,6.0,6.0
19910426,6.0,6.0
19910427,6.0,6.0
19910428,6.0,6.0
19910429,6.0,6.0
19910430,5.75,5.75
19910501,5.75,5.75
19910502,5.75,5.75
19910503,5.75,5.75
19910504,5.75,5.75
19910505,5.75,5.75
19910506,5.75,5.75
19910507,5.75,5.75
19910508,5.75,5.75
19910509,5.75,5.75
19910510,5.75,5.75
19910511,5.75,5.75
19910512,5.75,5.75
19910513,5.75,5.75
19910514,5.75,5.75
19910515,5.75,5.75
19910516,5.75,5.75
19910517,5.75,5.75
19910518,5.75,5.75
19910519,5.75,5.75
19910520,5.75,5.75
19910521,5.75,5.75
19910522,5.75,5.75
19910523,5.75,5.75
19910524,5.75,5.75
19910525,5.75,5.75
19910526,5.75,5.75
19910527,5.75,5.75
19910528,5.75,5.75
19910529,5.75,5.75
19910530,5.75,5.75
19910531,5.75,5.75
19910601,5.75,5.75
19910602,5.75,5.75
19910603,5.75,5.75
19910604,5.75,5.75
19910605,5.75,5.75
19910606,5.75,5.75
19910607,5.75,5.75
19910608,5.75,5.75
19910609,5.75,5.75
19910610,5.75,5.75
19910611,5.75,5.75
19910612,5.75,5.75
19910613,5.75,5.75
19910614,5.75,5.75
19910615,5.75,5.75
19910616,5.75,5.75
19910617,5.75,5.75
19910618,5.75,5.75
19910619,5.75,5.75
19910620,5.75,5.75
19910621,5.75,5.75
19910622,5.75,5.75
19910623,5.75,5.75
19910624,5.75,5.75
19910625,5.75,5.75
19910626,5.75,5.75
19910627,5.75,5.75
19910628,5.75,5.75
19910629,5.75,5.75
19910630,5.75,5.75
19910701,5.75,5.75
19910702,5.75,5.75
19910703,5.75,5.75
19910704,5.75,5.75
19910705,5.75,5.75
19910706,5.75,5.75
19910707,5.75,5.75
19910708,5.75,5.75
19910709,5.75,5.75
19910710,5.75,5.75
19910711,5.75,5.75
19910712,5.75,5.75
19910713,5.75,5.75
19910714,5.75,5.75
19910715,5.75,5.75
19910716,5.75,5.75
19910717,5.75,5.75
19910718,5.75,5.75
19910719,5.75,5.75
19910720,5.75,5.75
19910721,5.75,5.75
19910722,5.75,5.75
19910723,5.75,5.75
19910724,5.75,5.75
19910725,5.75,5.75
19910726,5.75,5.75
19910727,5.75,5.75
19910728,5.75,5.75
19910729,5.75,5.75
19910730,5.75,5.75
19910731,5.75,5.75
19910801,5.75,5.75
19910802,5.75,5.75
19910803,5.75,5.75
19910804,5.75,5.75
19910805,5.75,5.75
19910806,5.5,5.5
19910807,5.5,5.5
19910808,5.5,5.5
19910809,5.5,5.5
19910810,5.5,5.5
19910811,5.5,5.5
19910812,5.5,5.5
19910813,5.5,5.5
19910814,5.5,5.5
19910815,5.5,5.5
19910816,5.5,5.5
19910817,5.5,5.5
19910818,5.5,5.5
19910819,5.5,5.5
19910820,5.5,5.5
19910821,5.5,5.5
19910822,5.5,5.5
19910823,5.5,5.5
19910824,5.5,5.5
19910825,5.5,5.5
19910826,5.5,5.5
19910827,5.5,5.5
19910828,5.5,5.5
19910829,5.5,5.5
19910830,5.5,5.5
19910831,5.5,5.5
19910901,5.5,5.5
19910902,5.5,5.5
19910903,5.5,5.5
19910904,5.5,5.5
19910905,5.5,5.5
19910906,5.5,5.5
19910907,5.5,5.5
19910908,5.5,5.5
19910909,5.5,5.5
19910910,5.5,5.5
19910911,5.5,5.5
19910912,5.5,5.5
19910913,5.25,5.25
19910914,5.25,5.25
19910915,5.25,5.25
19910916,5.25,5.25
19910917,5.25,5.25
19910918,5.25,5.25
19910919,5.25,5.25
19910920,5.25,5.25
19910921,5.25,5.25
19910922,5.25,5.25
19910923,5.25,5.25
19910924,5.25,5.25
19910925,5.25,5.25
19910926,5.25,5.25
19910927,5.25,5.25
19910928,5.25,5.25
19910929,5.25,5.25
19910930,5.25,5.25
19911001,5.25,5.25
19911002,5.25,5.25
19911003,5.25,5.25
19911004,5.25,5.25
19911005,5.25,5.25
19911006,5.25,5.25
19911007,5.25,5.25
19911008,5.25,5.25
19911009,5.25,5.25
19911010,5.25,5.25
19911011,5.25,5.25
19911012,5.25,5.25
19911013,5.25,5.25
19911014,5.25,5.25
19911015,5.25,5.25
19911016,5.25,5.25
19911017,5.25,5.25
19911018,5.25,5.25
19911019,5.25,5.25
19911020,5.25,5.25
19911021,5.25,5.25
19911022,5.25,5.25
19911023,5.25,5.25
19911024,5.25,5.25
19911025,5.25,5.25
19911026,5.25,5.25
19911027,5.25,5.25
19911028,5.25,5.25
19911029,5.25,5.25
19911030,5.25,5.25
19911031,5.0,5.0
19911101,5.0,5.0
19911102,5.0,5.0
19911103,5.0,5.0
19911104,5.0,5.0
19911105,5.0,5.0
19911106,4.75,4.75
19911107,4.75,4.75
19911108,4.75,4.75
19911109,4.75,4.75
19911110,4.75,4.75
19911111,4.75,4.75
19911112,4.75,4.75
19911113,4.75,4.75
19911114,4.75,4.75
19911115,4.75,4.75
19911116,4.75,4.75
19911117,4.75,4.75
19911118,4.75,4.75
19911119,4.75,4.75
19911120,4.75,4.75
19911121,4.75,4.75
19911122,4.75,4.75
19911123,4.75,4.75
19911124,4.75,4.75
19911125,4.75,4.75
19911126,4.75,4.75
19911127,4.75,4.75
19911128,4.75,4.75
19911129,4.75,4.75
19911130,4.75,4.75
19911201,4.75,4.75
19911202,4.75,4.75
19911203,4.75,4.75
19911204,4.75,4.75
19911205,4.75,4.75
19911206,4.5,4.5
19911207,4.5,4.5
19911208,4.5,4.5
19911209,4.5,4.5
19911210,4.5,4.5
19911211,4.5,4.5
19911212,4.5,4.5
19911213,4.5,4.5
19911214,4.5,4.5
19911215,4.5,4.5
19911216,4.5,4.5
19911217,4.5,4.5
19911218,4.5,4.5
19911219,4.5,4.5
19911220,4.0,4.0
19911221,4.0,4.0
19911222,4.0,4.0
19911223,4.0,4.0
19911224,4.0,4.0
19911225,4.0,4.0
19911226,4.0,4.0
19911227,4.0,4.0
19911228,4.0,4.0
19911229,4.0,4.0
19911230,4.0,4.0
19911231,4.0,4.0
19920101,4.0,4.0
19920102,4.0,4.0
19920103,4.0,4.0
19920104,4.0,4.0
19920105,4.0,4.0
19920106,4.0,4.0
19920107,4.0,4.0
19920108,4.0,4.0
19920109,4.0,4.0
19920110,4.0,4.0
19920111,4.0,4.0
19920112,4.0,4.0
19920113,4.0,4.0
19920114,4.0,4.0
19920115,4.0,4.0
19920116,4.0,4.0
19920117,4.0,4.0
19920118,4.0,4.0
19920119,4.0,4.0
19920120,4.0,4.0
19920121,4.0,4.0
19920122,4.0,4.0
19920123,4.0,4.0
19920124,4.0,4.0
19920125,4.0,4.0
19920126,4.0,4.0
19920127,4.0,4.0
19920128,4.0,4.0
19920129,4.0,4.0
19920130,4.0,4.0
19920131,4.0,4.0
19920201,4.0,4.0
19920202,4.0,4.0
19920203,4.0,4.0
19920204,4.0,4.0
19920205,4.0,4.0
19920206,4.0,4.0
19920207,4.0,4.0
19920208,4.0,4.0
19920209,4.0,4.0
19920210,4.0,4.0
19920211,4.0,4.0
19920212,4.0,4.0
19920213,4.0,4.0
19920214,4.0,4.0
19920215,4.0,4.0
19920216,4.0,4.0
19920217,4.0,4.0
19920218,4.0,4.0
19920219,4.0,4.0
19920220,4.0,4.0
19920221,4.0,4.0
19920222,4.0,4.0
19920223,4.0,4.0
19920224,4.0,4.0
19920225,4.0,4.0
19920226,4.0,4.0
19920227,4.0,4.0
19920228,4.0,4.0
19920229,4.0,4.0
19920301,4.0,4.0
19920302,4.0,4.0
19920303,4.0,4.0
19920304,4.0,4.0
19920305,4.0,4.0
19920306,4.0,4.0
19920307,4.0,4.0
19920308,4.0,4.0
19920309,4.0,4.0
19920310,4.0,4.0
19920311,4.0,4.0
19920312,4.0,4.0
19920313,4.0,4.0
19920314,4.0,4.0
19920315,4.0,4.0
19920316,4.0,4.0
19920317,4.0,4.0
19920318,4.0,4.0
19920319,4.0,4.0
19920320,4.0,4.0
19920321,4.0,4.0
19920322,4.0,4.0
19920323,4.0,4.0
19920324,4.0,4.0
19920325,4.0,4.0
19920326,4.0,4.0
19920327,4.0,4.0
19920328,4.0,4.0
19920329,4.0,4.0
19920330,4.0,4.0
19920331,4.0,4.0
19920401,4.0,4.0
19920402,4.0,4.0
19920403,4.0,4.0
19920404,4.0,4.0
19920405,4.0,4.0
19920406,4.0,4.0
19920407,4.0,4.0
19920408,4.0,4.0
19920409,3.75,3.75
19920410,3.75,3.75
19920411,3.75,3.75
19920412,3.75,3.75
19920413,3.75,3.75
19920414,3.75,3.75
19920415,3.75,3.75
19920416,3.75,3.75
19920417,3.75,3.75
19920418,3.75,3.75
19920419,3.75,3.75
19920420,3.75,3.75
19920421,3.75,3.75
19920422,3.75,3.75
19920423,3.75,3.75
19920424,3.75,3.75
19920425,3.75,3.75
19920426,3.75,3.75
19920427,3.75,3.75
19920428,3.75,3.75
19920429,3.75,3.75
19920430,3.75,3.75
19920501,3.75,3.75
19920502,3.75,3.75
19920503,3.75,3.75
19920504,3.75,3.75
19920505,3.75,3.75
19920506,3.75,3.75
19920507,3.75,3.75
19920508,3.75,3.75
19920509,3.75,3.75
19920510,3.75,3.75
19920511,3.75,3.75
19920512,3.75,3.75
19920513,3.75,3.75
19920514,3.75,3.75
19920515,3.75,3.75
19920516,3.75,3.75
19920517,3.75,3.75
19920518,3.75,3.75
19920519,3.75,3.75
19920520,3.75,3.75
19920521,3.75,3.75
19920522,3.75,3.75
19920523,3.75,3.75
19920524,3.75,3.75
19920525,3.75,3.75
19920526,3.75,3.75
19920527,3.75,3.75
19920528,3.75,3.75
19920529,3.75,3.75
19920530,3.75,3.75
19920531,3.75,3.75
19920601,3.75,3.75
19920602,3.75,3.75
19920603,3.75,3.75
19920604,3.75,3.75
19920605,3.75,3.75
19920606,3.75,3.75
19920607,3.75,3.75
19920608,3.75,3.75
19920609,3.75,3.75
19920610,3.75,3.75
19920611,3.75,3.75
19920612,3.75,3.75
19920613,3.75,3.75
19920614,3.75,3.75
19920615,3.75,3.75
19920616,3.75,3.75
19920617,3.75,3.75
19920618,3.75,3.75
19920619,3.75,3.75
19920620,3.75,3.75
19920621,3.75,3.75
19920622,3.75,3.75
19920623,3.75,3.75
19920624,3.75,3.75
19920625,3.75,3.75
19920626,3.75,3.75
19920627,3.75,3.75
19920628,3.75,3.75
19920629,3.75,3.75
19920630,3.75,3.75
19920701,3.75,3.75
19920702,3.25,3.25
19920703,3.25,3.25
19920704,3.25,3.25
19920705,3.25,3.25
19920706,3.25,3.25
19920707,3.25,3.25
19920708,3.25,3.25
19920709,3.25,3.25
19920710,3.25,3.25
19920711,3.25,3.25
19920712,3.25,3.25
19920713,3.25,3.25
19920714,3.25,3.25
19920715,3.25,3.25
19920716,3.25,3.25
19920717,3.25,3.25
19920718,3.25,3.25
19920719,3.25,3.25
19920720,3.25,3.25
19920721,3.25,3.25
19920722,3.25,3.25
19920723,3.25,3.25
19920724,3.25,3.25
19920725,3.25,3.25
19920726,3.25,3.25
19920727,3.25,3.25
19920728,3.25,3.25
19920729,3.25,3.25
19920730,3.25,3.25
19920731,3.25,3.25
19920801,3.25,3.25
19920802,3.25,3.25
19920803,3.25,3.25
19920804,3.25,3.25
19920805,3.25,3.25
19920806,3.25,3.25
19920807,3.25,3.25
19920808,3.25,3.25
19920809,3.25,3.25
19920810,3.25,3.25
19920811,3.25,3.25
19920812,3.25,3.25
19920813,3.25,3.25
19920814,3.25,3.25
19920815,3.25,3.25
19920816,3.25,3.25
19920817,3.25,3.25
19920818,3.25,3.25
19920819,3.25,3.25
19920820,3.25,3.25
19920821,3.25,3.25
19920822,3.25,3.25
19920823,3.25,3.25
19920824,3.25,3.25
19920825,3.25,3.25
19920826,3.25,3.25
19920827,3.25,3.25
19920828,3.25,3.25
19920829,3.25,3.25
19920830,3.25,3.25
19920831,3.25,3.25
19920901,3.25,3.25
19920902,3.25,3.25
19920903,3.25,3.25
19920904,3.0,3.0
19920905,3.0,3.0
19920906,3.0,3.0
19920907,3.0,3.0
19920908,3.0,3.0
19920909,3.0,3.0
19920910,3.0,3.0
19920911,3.0,3.0
19920912,3.0,3.0
19920913,3.0,3.0
19920914,3.0,3.0
19920915,3.0,3.0
19920916,3.0,3.0
19920917,3.0,3.0
19920918,3.0,3.0
19920919,3.0,3.0
19920920,3.0,3.0
19920921,3.0,3.0
19920922,3.0,3.0
19920923,3.0,3.0
19920924,3.0,3.0
19920925,3.0,3.0
19920926,3.0,3.0
19920927,3.0,3.0
19920928,3.0,3.0
19920929,3.0,3.0
19920930,3.0,3.0
19921001,3.0,3.0
19921002,3.0,3.0
19921003,3.0,3.0
19921004,3.0,3.0
19921005,3.0,3.0
19921006,3.0,3.0
19921007,3.0,3.0
19921008,3.0,3.0
19921009,3.0,3.0
19921010,3.0,3.0
19921011,3.0,3.0
19921012,3.0,3.0
19921013,3.0,3.0
19921014,3.0,3.0
19921015,3.0,3.0
19921016,3.0,3.0
19921017,3.0,3.0
19921018,3.0,3.0
19921019,3.0,3.0
19921020,3.0,3.0
19921021,3.0,3.0
19921022,3.0,3.0
19921023,3.0,3.0
19921024,3.0,3.0
19921025,3.0,3.0
19921026,3.0,3.0
19921027,3.0,3.0
19921028,3.0,3.0
19921029,3.0,3.0
19921030,3.0,3.0
19921031,3.0,3.0
19921101,3.0,3.0
19921102,3.0,3.0
19921103,3.0,3.0
19921104,3.0,3.0
19921105,3.0,3.0
19921106,3.0,3.0
19921107,3.0,3.0
19921108,3.0,3.0
19921109,3.0,3.0
19921110,3.0,3.0
19921111,3.0,3.0
19921112,3.0,3.0
19921113,3.0,3.0
19921114,3.0,3.0
19921115,3.0,3.0
19921116,3.0,3.0
19921117,3.0,3.0
19921118,3.0,3.0
19921119,3.0,3.0
19921120,3.0,3.0
19921121,3.0,3.0
19921122,3.0,3.0
19921123,3.0,3.0
19921124,3.0,3.0
19921125,3.0,3.0
19921126,3.0,3.0
19921127,3.0,3.0
19921128,3.0,3.0
19921129,3.0,3.0
19921130,3.0,3.0
19921201,3.0,3.0
19921202,3.0,3.0
19921203,3.0,3.0
19921204,3.0,3.0
19921205,3.0,3.0
19921206,3.0,3.0
19921207,3.0,3.0
19921208,3.0,3.0
19921209,3.0,3.0
19921210,3.0,3.0
19921211,3.0,3.0
19921212,3.0,3.0
19921213,3.0,3.0
19921214,3.0,3.0
19921215,3.0,3.0
19921216,3.0,3.0
19921217,3.0,3.0
19921218,3.0,3.0
19921219,3.0,3.0
19921220,3.0,3.0
19921221,3.0,3.0
19921222,3.0,3.0
19921223,3.0,3.0
19921224,3.0,3.0
19921225,3.0,3.0
19921226,3.0,3.0
19921227,3.0,3.0
19921228,3.0,3.0
19921229,3.0,3.0
19921230,3.0,3.0
19921231,3.0,3.0
19930101,3.0,3.0
19930102,3.0,3.0
19930103,3.0,3.0
19930104,3.0,3.0
19930105,3.0,3.0
19930106,3.0,3.0
19930107,3.0,3.0
19930108,3.0,3.0
19930109,3.0,3.0
19930110,3.0,3.0
19930111,3.0,3.0
19930112,3.0,3.0
19930113,3.0,3.0
19930114,3.0,3.0
19930115,3.0,3.0
19930116,3.0,3.0
19930117,3.0,3.0
19930118,3.0,3.0
19930119,3.0,3.0
19930120,3.0,3.0
19930121,3.0,3.0
19930122,3.0,3.0
19930123,3.0,3.0
19930124,3.0,3.0
19930125,3.0,3.0
19930126,3.0,3.0
19930127,3.0,3.0
19930128,3.0,3.0
19930129,3.0,3.0
19930130,3.0,3.0
19930131,3.0,3.0
19930201,3.0,3.0
19930202,3.0,3.0
19930203,3.0,3.0
19930204,3.0,3.0
19930205,3.0,3.0
19930206,3.0,3.0
19930207,3.0,3.0
19930208,3.0,3.0
19930209,3.0,3.0
19930210,3.0,3.0
19930211,3.0,3.0
19930212,3.0,3.0
19930213,3.0,3.0
19930214,3.0,3.0
19930215,3.0,3.0
19930216,3.0,3.0
19930217,3.0,3.0
19930218,3.0,3.0
19930219,3.0,3.0
19930220,3.0,3.0
19930221,3.0,3.0
19930222,3.0,3.0
19930223,3.0,3.0
19930224,3.0,3.0
19930225,3.0,3.0
19930226,3.0,3.0
19930227,3.0,3.0
19930228,3.0,3.0
19930301,3.0,3.0
19930302,3.0,3.0
19930303,3.0,3.0
19930304,3.0,3.0
19930305,3.0,3.0
19930306,3.0,3.0
19930307,3.0,3.0
19930308,3.0,3.0
19930309,3.0,3.0
19930310,3.0,3.0
19930311,3.0,3.0
19930312,3.0,3.0
19930313,3.0,3.0
19930314,3.0,3.0
19930315,3.0,3.0
19930316,3.0,3.0
19930317,3.0,3.0
19930318,3.0,3.0
19930319,3.0,3.0
19930320,3.0,3.0
19930321,3.0,3.0
19930322,3.0,3.0
19930323,3.0,3.0
19930324,3.0,3.0
19930325,3.0,3.0
19930326,3.0,3.0
19930327,3.0,3.0
19930328,3.0,3.0
19930329,3.0,3.0
19930330,3.0,3.0
19930331,3.0,3.0
19930401,3.0,3.0
19930402,3.0,3.0
19930403,3.0,3.0
19930404,3.0,3.0
19930405,3.0,3.0
19930406,3.0,3.0
19930407,3.0,3.0
19930408,3.0,3.0
19930409,3.0,3.0
19930410,3.0,3.0
19930411,3.0,3.0
19930412,3.0,3.0
19930413,3.0,3.0
19930414,3.0,3.0
19930415,3.0,3.0
19930416,3.0,3.0
19930417,3.0,3.0
19930418,3.0,3.0
19930419,3.0,3.0
19930420,3.0,3.0
19930421,3.0,3.0
19930422,3.0,3.0
19930423,3.0,3.0
19930424,3.0,3.0
19930425,3.0,3.0
19930426,3.0,3.0
19930427,3.0,3.0
19930428,3.0,3.0
19930429,3.0,3.0
19930430,3.0,3.0
19930501,3.0,3.0
19930502,3.0,3.0
19930503,3.0,3.0
19930504,3.0,3.0
19930505,3.0,3.0
19930506,3.0,3.0
19930507,3.0,3.0
19930508,3.0,3.0
19930509,3.0,3.0
19930510,3.0,3.0
19930511,3.0,3.0
19930512,3.0,3.0
19930513,3.0,3.0
19930514,3.0,3.0
19930515,3.0,3.0
19930516,3.0,3.0
19930517,3.0,3.0
19930518,3.0,3.0
19930519,3.0,3.0
19930520,3.0,3.0
19930521,3.0,3.0
19930522,3.0,3.0
19930523,3.0,3.0
19930524,3.0,3.0
19930525,3.0,3.0
19930526,3.0,3.0
19930527,3.0,3.0
19930528,3.0,3.0
19930529,3.0,3.0
19930530,3.0,3.0
19930531,3.0,3.0
19930601,3.0,3.0
19930602,3.0,3.0
19930603,3.0,3.0
19930604,3.0,3.0
19930605,3.0,3.0
19930606,3.0,3.0
19930607,3.0,3.0
19930608,3.0,3.0
19930609,3.0,3.0
19930610,3.0,3.0
19930611,3.0,3.0
19930612,3.0,3.0
19930613,3.0,3.0
19930614,3.0,3.0
19930615,3.0,3.0
19930616,3.0,3.0
19930617,3.0,3.0
19930618,3.0,3.0
19930619,3.0,3.0
19930620,3.0,3.0
19930621,3.0,3.0
19930622,3.0,3.0
19930623,3.0,3.0
19930624,3.0,3.0
19930625,3.0,3.0
19930626,3.0,3.0
19930627,3.0,3.0
19930628,3.0,3.0
19930629,3.0,3.0
19930630,3.0,3.0
19930701,3.0,3.0
19930702,3.0,3.0
19930703,3.0,3.0
19930704,3.0,3.0
19930705,3.0,3.0
19930706,3.0,3.0
19930707,3.0,3.0
19930708,3.0,3.0
19930709,3.0,3.0
19930710,3.0,3.0
19930711,3.0,3.0
19930712,3.0,3.0
19930713,3.0,3.0
19930714,3.0,3.0
19930715,3.0,3.0
19930716,3.0,3.0
19930717,3.0,3.0
19930718,3.0,3.0
19930719,3.0,3.0
19930720,3.0,3.0
19930721,3.0,3.0
19930722,3.0,3.0
19930723,3.0,3.0
19930724,3.0,3.0
19930725,3.0,3.0
19930726,3.0,3.0
19930727,3.0,3.0
19930728,3.0,3.0
19930729,3.0,3.0
19930730,3.0,3.0
19930731,3.0,3.0
19930801,3.0,3.0
19930802,3.0,3.0
19930803,3.0,3.0
19930804,3.0,3.0
19930805,3.0,3.0
19930806,3.0,3.0
19930807,3.0,3.0
19930808,3.0,3.0
19930809,3.0,3.0
19930810,3.0,3.0
19930811,3.0,3.0
19930812,3.0,3.0
19930813,3.0,3.0
19930814,3.0,3.0
19930815,3.0,3.0
19930816,3.0,3.0
19930817,3.0,3.0
19930818,3.0,3.0
19930819,3.0,3.0
19930820,3.0,3.0
19930821,3.0,3.0
19930822,3.0,3.0
19930823,3.0,3.0
19930824,3.0,3.0
19930825,3.0,3.0
19930826,3.0,3.0
19930827,3.0,3.0
19930828,3.0,3.0
19930829,3.0,3.0
19930830,3.0,3.0
19930831,3.0,3.0
19930901,3.0,3.0
19930902,3.0,3.0
19930903,3.0,3.0
19930904,3.0,3.0
19930905,3.0,3.0
19930906,3.0,3.0
19930907,3.0,3.0
19930908,3.0,3.0
19930909,3.0,3.0
19930910,3.0,3.0
19930911,3.0,3.0
19930912,3.0,3.0
19930913,3.0,3.0
19930914,3.0,3.0
19930915,3.0,3.0
19930916,3.0,3.0
19930917,3.0,3.0
19930918,3.0,3.0
19930919,3.0,3.0
19930920,3.0,3.0
19930921,3.0,3.0
19930922,3.0,3.0
19930923,3.0,3.0
19930924,3.0,3.0
19930925,3.0,3.0
19930926,3.0,3.0
19930927,3.0,3.0
19930928,3.0,3.0
19930929,3.0,3.0
19930930,3.0,3.0
19931001,3.0,3.0
19931002,3.0,3.0
19931003,3.0,3.0
19931004,3.0,3.0
19931005,3.0,3.0
19931006,3.0,3.0
19931007,3.0,3.0
19931008,3.0,3.0
19931009,3.0,3.0
19931010,3.0,3.0
19931011,3.0,3.0
19931012,3.0,3.0
19931013,3.0,3.0
19931014,3.0,3.0
19931015,3.0,3.0
19931016,3.0,3.0
19931017,3.0,3.0
19931018,3.0,3.0
19931019,3.0,3.0
19931020,3.0,3.0
19931021,3.0,3.0
19931022,3.0,3.0
19931023,3.0,3.0
19931024,3.0,3.0
19931025,3.0,3.0
19931026,3.0,3.0
19931027,3.0,3.0
19931028,3.0,3.0
19931029,3.0,3.0
19931030,3.0,3.0
19931031,3.0,3.0
19931101,3.0,3.0
19931102,3.0,3.0
19931103,3.0,3.0
19931104,3.0,3.0
19931105,3.0,3.0
19931106,3.0,3.0
19931107,3.0,3.0
19931108,3.0,3.0
19931109,3.0,3.0
19931110,3.0,3.0
19931111,3.0,3.0
19931112,3.0,3.0
19931113,3.0,3.0
19931114,3.0,3.0
19931115,3.0,3.0
19931116,3.0,3.0
19931117,3.0,3.0
19931118,3.0,3.0
19931119,3.0,3.0
19931120,3.0,3.0
19931121,3.0,3.0
19931122,3.0,3.0
19931123,3.0,3.0
19931124,3.0,3.0
19931125,3.0,3.0
19931126,3.0,3.0
19931127,3.0,3.0
19931128,3.0,3.0
19931129,3.0,3.0
19931130,3.0,3.0
19931201,3.0,3.0
19931202,3.0,3.0
19931203,3.0,3.0
19931204,3.0,3.0
19931205,3.0,3.0
19931206,3.0,3.0
19931207,3.0,3.0
19931208,3.0,3.0
19931209,3.0,3.0
19931210,3.0,3.0
19931211,3.0,3.0
19931212,3.0,3.0
19931213,3.0,3.0
19931214,3.0,3.0
19931215,3.0,3.0
19931216,3.0,3.0
19931217,3.0,3.0
19931218,3.0,3.0
19931219,3.0,3.0
19931220,3.0,3.0
19931221,3.0,3.0
19931222,3.0,3.0
19931223,3.0,3.0
19931224,3.0,3.0
19931225,3.0,3.0
19931226,3.0,3.0
19931227,3.0,3.0
19931228,3.0,3.0
19931229,3.0,3.0
19931230,3.0,3.0
19931231,3.0,3.0
19940101,3.0,3.0
19940102,3.0,3.0
19940103,3.0,3.0
19940104,3.0,3.0
19940105,3.0,3.0
19940106,3.0,3.0
19940107,3.0,3.0
19940108,3.0,3.0
19940109,3.0,3.0
19940110,3.0,3.0
19940111,3.0,3.0
19940112,3.0,3.0
19940113,3.0,3.0
19940114,3.0,3.0
19940115,3.0,3.0
19940116,3.0,3.0
19940117,3.0,3.0
19940118,3.0,3.0
19940119,3.0,3.0
19940120,3.0,3.0
19940121,3.0,3.0
19940122,3.0,3.0
19940123,3.0,3.0
19940124,3.0,3.0
19940125,3.0,3.0
19940126,3.0,3.0
19940127,3.0,3.0
19940128,3.0,3.0
19940129,3.0,3.0
19940130,3.0,3.0
19940131,3.0,3.0
19940201,3.0,3.0
19940202,3.0,3.0
19940203,3.0,3.0
19940204,3.25,3.25
19940205,3.25,3.25
19940206,3.25,3.25
19940207,3.25,3.25
19940208,3.25,3.25
19940209,3.25,3.25
19940210,3.25,3.25
19940211,3.25,3.25
19940212,3.25,3.25
19940213,3.25,3.25
19940214,3.25,3.25
19940215,3.25,3.25
19940216,3.25,3.25
19940217,3.25,3.25
19940218,3.25,3.25
19940219,3.25,3.25
19940220,3.25,3.25
19940221,3.25,3.25
19940222,3.25,3.25
19940223,3.25,3.25
19940224,3.25,3.25
19940225,3.25,3.25
19940226,3.25,3.25
19940227,3.25,3.25
19940228,3.25,3.25
19940301,3.25,3.25
19940302,3.25,3.25
19940303,3.25,3.25
19940304,3.25,3.25
19940305,3.25,3.25
19940306,3.25,3.25
19940307,3.25,3.25
19940308,3.25,3.25
19940309,3.25,3.25
19940310,3.25,3.25
19940311,3.25,3.25
19940312,3.25,3.25
19940313,3.25,3.25
19940314,3.25,3.25
19940315,3.25,3.25
19940316,3.25,3.25
19940317,3.25,3.25
19940318,3.25,3.25
19940319,3.25,3.25
19940320,3.25,3.25
19940321,3.25,3.25
19940322,3.5,3.5
19940323,3.5,3.5
19940324,3.5,3.5
19940325,3.5,3.5
19940326,3.5,3.5
19940327,3.5,3.5
19940328,3.5,3.5
19940329,3.5,3.5
19940330,3.5,3.5
19940331,3.5,3.5
19940401,3.5,3.5
19940402,3.5,3.5
19940403,3.5,3.5
19940404,3.5,3.5
19940405,3.5,3.5
19940406,3.5,3.5
19940407,3.5,3.5
19940408,3.5,3.5
19940409,3.5,3.5
19940410,3.5,3.5
19940411,3.5,3.5
19940412,3.5,3.5
19940413,3.5,3.5
19940414,3.5,3.5
19940415,3.5,3.5
19940416,3.5,3.5
19940417,3.5,3.5
19940418,3.75,3.75
19940419,3.75,3.75
19940420,3.75,3.75
