,L,U
19830620,8.75,8.75
19830621,8.75,8.75
19830622,8.75,8.75
19830623,8.75,8.75
19830624,9.0,9.0
19830625,9.0,9.0
19830626,9.0,9.0
19830627,9.0,9.0
19830628,9.0,9.0
19830629,9.0,9.0
19830630,9.0,9.0
19830701,9.0,9.0
19830702,9.0,9.0
19830703,9.0,9.0
19830704,9.0,9.0
19830705,9.0,9.0
19830706,9.0,9.0
19830707,9.0,9.0
19830708,9.0,9.0
19830709,9.0,9.0
19830710,9.0,9.0
19830711,9.0,9.0
19830712,9.0,9.0
19830713,9.0,9.0
19830714,9.25,9.25
19830715,9.25,9.25
19830716,9.25,9.25
19830717,9.25,9.25
19830718,9.25,9.25
19830719,9.25,9.25
19830720,9.4375,9.4375
19830721,9.4375,9.4375
19830722,9.4375,9.4375
19830723,9.4375,9.4375
19830724,9.4375,9.4375
19830725,9.4375,9.4375
19830726,9.4375,9.4375
19830727,9.4375,9.4375
19830728,9.4375,9.4375
19830729,9.4375,9.4375
19830730,9.4375,9.4375
19830731,9.4375,9.4375
19830801,9.4375,9.4375
19830802,9.4375,9.4375
19830803,9.4375,9.4375
19830804,9.4375,9.4375
19830805,9.4375,9.4375
19830806,9.4375,9.4375
19830807,9.4375,9.4375
19830808,9.4375,9.4375
19830809,9.4375,9.4375
19830810,9.4375,9.4375
19830811,9.5625,9.5625
19830812,9.5625,9.5625
19830813,9.5625,9.5625
19830814,9.5625,9.5625
19830815,9.5625,9.5625
19830816,9.5625,9.5625
19830817,9.5,9.5
19830818,9.5,9.5
19830819,9.5,9.5
19830820,9.5,9.5
19830821,9.5,9.5
19830822,9.5,9.5
19830823,9.5,9.5
19830824,9.5,9.5
19830825,9.5,9.5
19830826,9.5,9.5
19830827,9.5,9.5
19830828,9.5,9.5
19830829,9.5,9.5
19830830,9.5,9.5
19830831,9.5,9.5
19830901,9.5,9.5
19830902,9.5,9.5
19830903,9.5,9.5
19830904,9.5,9.5
19830905,9.5,9.5
19830906,9.5,9.5
19830907,9.5,9.5
19830908,9.5,9.5
19830909,9.5,9.5
19830910,9.5,9.5
19830911,9.5,9.5
19830912,9.5,9.5
19830913,9.5,9.5
19830914,9.5,9.5
19830915,9.375,9.375
19830916,9.375,9.375
19830917,9.375,9.375
19830918,9.375,9.375
19830919,9.375,9.375
19830920,9.375,9.375
19830921,9.375,9.375
19830922,9.375,9.375
19830923,9.375,9.375
19830924,9.375,9.375
19830925,9.375,9.375
19830926,9.375,9.375
19830927,9.375,9.375
19830928,9.375,9.375
19830929,9.375,9.375
19830930,9.375,9.375
19831001,9.375,9.375
19831002,9.375,9.375
19831003,9.375,9.375
19831004,9.375,9.375
19831005,9.375,9.375
19831006,9.375,9.375
19831007,9.375,9.375
19831008,9.375,9.375
19831009,9.375,9.375
19831010,9.375,9.375
19831011,9.375,9.375
19831012,9.375,9.375
19831013,9.375,9.375
19831014,9.375,9.375
19831015,9.375,9.375
19831016,9.375,9.375
19831017,9.375,9.375
19831018,9.375,9.375
19831019,9.375,9.375
19831020,9.375,9.375
19831021,9.375,9.375
19831022,9.375,9.375
19831023,9.375,9.375
19831024,9.375,9.375
19831025,9.375,9.375
19831026,9.375,9.375
19831027,9.375,9.375
19831028,9.375,9.375
19831029,9.375,9.375
19831030,9.375,9.375
19831031,9.375,9.375
19831101,9.375,9.375
19831102,9.375,9.375
19831103,9.375,9.375
19831104,9.375,9.375
19831105,9.375,9.375
19831106,9.375,9.375
19831107,9.375,9.375
19831108,9.375,9.375
19831109,9.375,9.375
19831110,9.375,9.375
19831111,9.375,9.375
19831112,9.375,9.375
19831113,9.375,9.375
19831114,9.375,9.375
19831115,9.375,9.375
19831116,9.375,9.375
19831117,9.375,9.375
19831118,9.375,9.375
19831119,9.375,9.375
19831120,9.375,9.375
19831121,9.375,9.375
19831122,9.375,9.375
19831123,9.375,9.375
19831124,9.375,9.375
19831125,9.375,9.375
19831126,9.375,9.375
19831127,9.375,9.375
19831128,9.375,9.375
19831129,9.375,9.375
19831130,9.375,9.375
19831201,9.375,9.375
19831202,9.375,9.375
19831203,9.375,9.375
19831204,9.375,9.375
19831205,9.375,9.375
19831206,9.375,9.375
19831207,9.375,9.375
19831208,9.375,9.375
19831209,9.375,9.375
19831210,9.375,9.375
19831211,9.375,9.375
19831212,9.375,9.375
19831213,9.375,9.375
19831214,9.375,9.375
19831215,9.375,9.375
19831216,9.375,9.375
19831217,9.375,9.375
19831218,9.375,9.375
19831219,9.375,9.375
19831220,9.375,9.375
19831221,9.375,9.375
19831222,9.375,9.375
19831223,9.375,9.375
19831224,9.375,9.375
19831225,9.375,9.375
19831226,9.375,9.375
19831227,9.375,9.375
19831228,9.375,9.375
19831229,9.375,9.375
19831230,9.375,9.375
19831231,9.375,9.375
19840101,9.375,9.375
19840102,9.375,9.375
19840103,9.375,9.375
19840104,9.375,9.375
19840105,9.375,9.375
19840106,9.375,9.375
19840107,9.375,9.375
19840108,9.375,9.375
19840109,9.375,9.375
19840110,9.375,9.375
19840111,9.375,9.375
19840112,9.375,9.375
19840113,9.375,9.375
19840114,9.375,9.375
19840115,9.375,9.375
19840116,9.375,9.375
19840117,9.375,9.375
19840118,9.375,9.375
19840119,9.375,9.375
19840120,9.375,9.375
19840121,9.375,9.375
19840122,9.375,9.375
19840123,9.375,9.375
19840124,9.375,9.375
19840125,9.375,9.375
19840126,9.375,9.375
19840127,9.375,9.375
19840128,9.375,9.375
19840129,9.375,9.375
19840130,9.375,9.375
19840131,9.375,9.375
19840201,9.375,9.375
19840202,9.375,9.375
19840203,9.375,9.375
19840204,9.375,9.375
19840205,9.375,9.375
19840206,9.375,9.375
19840207,9.375,9.375
19840208,9.375,9.375
19840209,9.375,9.375
19840210,9.375,9.375
19840211,9.375,9.375
19840212,9.375,9.375
19840213,9.375,9.375
19840214,9.375,9.375
19840215,9.375,9.375
19840216,9.375,9.375
19840217,9.375,9.375
19840218,9.375,9.375
19840219,9.375,9.375
19840220,9.375,9.375
19840221,9.375,9.375
19840222,9.375,9.375
19840223,9.375,9.375
