Date,Close,Open,High,Low,Increase
2009年12月31日,3.837,3.837,3.837,3.837,1.16%
2009年12月30日,3.793,3.793,3.793,3.793,-0.26%
2009年12月29日,3.803,3.803,3.803,3.803,-1.17%
2009年12月28日,3.848,3.848,3.848,3.848,1.13%
2009年12月24日,3.805,3.805,3.805,3.805,1.36%
2009年12月23日,3.754,3.754,3.754,3.754,-0.11%
2009年12月22日,3.758,3.758,3.758,3.758,2.12%
2009年12月21日,3.68,3.68,3.68,3.68,3.78%
2009年12月18日,3.546,3.546,3.546,3.546,1.84%
2009年12月17日,3.482,3.482,3.482,3.482,-3.22%
2009年12月16日,3.598,3.598,3.598,3.598,0.11%
2009年12月15日,3.594,3.594,3.594,3.594,1.18%
2009年12月14日,3.552,3.552,3.552,3.552,-0.06%
2009年12月11日,3.554,3.554,3.554,3.554,1.51%
2009年12月10日,3.501,3.501,3.501,3.501,1.98%
2009年12月9日,3.433,3.433,3.433,3.433,1.45%
2009年12月8日,3.384,3.384,3.384,3.384,-1.31%
2009年12月7日,3.429,3.429,3.429,3.429,-1.41%
2009年12月4日,3.478,3.478,3.478,3.478,2.93%
2009年12月3日,3.379,3.379,3.379,3.379,1.96%
2009年12月2日,3.314,3.314,3.314,3.314,0.91%
2009年12月1日,3.284,3.284,3.284,3.284,2.69%
2009年11月30日,3.198,3.198,3.198,3.198,-0.28%
2009年11月27日,3.207,3.207,3.207,3.207,-1.87%
2009年11月25日,3.268,3.268,3.268,3.268,-1.09%
2009年11月24日,3.304,3.304,3.304,3.304,-1.46%
2009年11月23日,3.353,3.353,3.353,3.353,-0.47%
2009年11月20日,3.369,3.369,3.369,3.369,0.81%
2009年11月19日,3.342,3.342,3.342,3.342,-0.71%
2009年11月18日,3.366,3.366,3.366,3.366,1.29%
2009年11月17日,3.323,3.323,3.323,3.323,-0.78%
2009年11月16日,3.349,3.349,3.349,3.349,-2.16%
2009年11月13日,3.423,3.423,3.423,3.423,-0.61%
2009年11月12日,3.444,3.444,3.444,3.444,0.00%
2009年11月11日,3.444,3.444,3.444,3.444,-0.98%
2009年11月10日,3.478,3.478,3.478,3.478,-0.17%
2009年11月9日,3.484,3.484,3.484,3.484,-0.49%
2009年11月6日,3.501,3.501,3.501,3.501,-0.74%
2009年11月5日,3.527,3.527,3.527,3.527,0.20%
2009年11月4日,3.52,3.52,3.52,3.52,1.47%
2009年11月3日,3.469,3.469,3.469,3.469,1.31%
