Date,Close,Open,High,Low,Increase
2009年12月31日,1.143,1.143,1.143,1.143,5.54%
2009年12月30日,1.083,1.083,1.083,1.083,-1.10%
2009年12月29日,1.095,1.095,1.095,1.095,4.19%
2009年12月28日,1.051,1.051,1.051,1.051,8.57%
2009年12月24日,0.968,0.968,0.968,0.968,4.54%
2009年12月23日,0.926,0.926,0.926,0.926,1.42%
2009年12月22日,0.913,0.913,0.913,0.913,5.67%
2009年12月21日,0.864,0.864,0.864,0.864,8.14%
2009年12月18日,0.799,0.799,0.799,0.799,5.41%
2009年12月17日,0.758,0.758,0.758,0.758,-9.22%
2009年12月16日,0.835,0.835,0.835,0.835,-2.79%
2009年12月15日,0.859,0.859,0.859,0.859,0.47%
2009年12月14日,0.855,0.855,0.855,0.855,5.56%
2009年12月11日,0.81,0.81,0.81,0.81,5.19%
2009年12月10日,0.77,0.77,0.77,0.77,3.22%
2009年12月9日,0.746,0.746,0.746,0.746,2.75%
2009年12月8日,0.726,0.726,0.726,0.726,-5.22%
2009年12月7日,0.766,0.766,0.766,0.766,-9.46%
2009年12月4日,0.846,0.846,0.846,0.846,16.53%
2009年12月3日,0.726,0.726,0.726,0.726,0.55%
2009年12月2日,0.722,0.722,0.722,0.722,6.96%
2009年12月1日,0.675,0.675,0.675,0.675,1.20%
2009年11月30日,0.667,0.667,0.667,0.667,-2.91%
2009年11月27日,0.687,0.687,0.687,0.687,-7.41%
2009年11月25日,0.742,0.742,0.742,0.742,1.64%
2009年11月24日,0.73,0.73,0.73,0.73,-0.14%
2009年11月23日,0.731,0.731,0.731,0.731,0.00%
2009年11月20日,0.731,0.731,0.731,0.731,3.84%
2009年11月19日,0.704,0.704,0.704,0.704,-6.01%
2009年11月18日,0.749,0.749,0.749,0.749,-1.58%
2009年11月17日,0.761,0.761,0.761,0.761,-1.68%
2009年11月16日,0.774,0.774,0.774,0.774,-3.97%
2009年11月13日,0.806,0.806,0.806,0.806,-0.62%
2009年11月12日,0.811,0.811,0.811,0.811,-2.87%
2009年11月10日,0.835,0.835,0.835,0.835,-2.00%
2009年11月9日,0.852,0.852,0.852,0.852,0.47%
2009年11月6日,0.848,0.848,0.848,0.848,-3.75%
2009年11月5日,0.881,0.881,0.881,0.881,-2.11%
2009年11月4日,0.9,0.9,0.9,0.9,-1.85%
2009年11月3日,0.917,0.917,0.917,0.917,-0.86%
2009年11月2日,0.925,0.925,0.925,0.925,2.66%
2009年10月30日,0.901,0.901,0.901,0.901,-8.06%
2009年10月29日,0.98,0.98,0.98,0.98,4.14%
2009年10月28日,0.941,0.941,0.941,0.941,0.75%
2009年10月27日,0.934,0.934,0.934,0.934,-9.23%
2009年10月26日,1.029,1.029,1.029,1.029,1.68%
2009年10月23日,1.012,1.012,1.012,1.012,6.86%
2009年10月22日,0.947,0.947,0.947,0.947,-1.25%
2009年10月21日,0.959,0.959,0.959,0.959,4.35%
2009年10月20日,0.919,0.919,0.919,0.919,-4.96%
2009年10月19日,0.967,0.967,0.967,0.967,0.83%
2009年10月16日,0.959,0.959,0.959,0.959,0.84%
2009年10月15日,0.951,0.951,0.951,0.951,3.03%
2009年10月14日,0.923,0.923,0.923,0.923,2.67%
2009年10月13日,0.899,0.899,0.899,0.899,-7.51%
2009年10月9日,0.972,0.972,0.972,0.972,9.95%
2009年10月8日,0.884,0.884,0.884,0.884,2.79%
2009年10月7日,0.86,0.86,0.86,0.86,-4.87%
2009年10月6日,0.904,0.904,0.904,0.904,3.08%
2009年10月5日,0.877,0.877,0.877,0.877,0.46%
2009年10月2日,0.873,0.873,0.873,0.873,0.00%
2009年10月1日,0.873,0.873,0.873,0.873,-7.91%
2009年9月30日,0.948,0.948,0.948,0.948,-5.20%
2009年9月29日,1,1,1,1,2.46%
2009年9月28日,0.976,0.976,0.976,0.976,-1.21%
2009年9月25日,0.988,0.988,0.988,0.988,5.44%
2009年9月24日,0.937,0.937,0.937,0.937,-1.99%
2009年9月23日,0.956,0.956,0.956,0.956,0.10%
2009年9月22日,0.955,0.955,0.955,0.955,-2.95%
2009年9月21日,0.984,0.984,0.984,0.984,-1.60%
2009年9月18日,1,1,1,1,6.50%
2009年9月17日,0.939,0.939,0.939,0.939,-5.34%
2009年9月16日,0.992,0.992,0.992,0.992,5.64%
2009年9月15日,0.939,0.939,0.939,0.939,1.29%
2009年9月14日,0.927,0.927,0.927,0.927,2.21%
2009年9月11日,0.907,0.907,0.907,0.907,2.14%
2009年9月10日,0.888,0.888,0.888,0.888,-4.31%
2009年9月9日,0.928,0.928,0.928,0.928,-1.69%
2009年9月8日,0.944,0.944,0.944,0.944,1.29%
2009年9月4日,0.932,0.932,0.932,0.932,1.64%
2009年9月3日,0.917,0.917,0.917,0.917,1.78%
2009年9月2日,0.901,0.901,0.901,0.901,-1.31%
2009年9月1日,0.913,0.913,0.913,0.913,-5.68%
2009年8月31日,0.968,0.968,0.968,0.968,-4.72%
2009年8月28日,1.016,1.016,1.016,1.016,-3.05%
2009年8月27日,1.048,1.048,1.048,1.048,-0.66%
2009年8月26日,1.055,1.055,1.055,1.055,4.25%
2009年8月25日,1.012,1.012,1.012,1.012,-0.78%
2009年8月24日,1.02,1.02,1.02,1.02,-6.76%
2009年8月21日,1.094,1.094,1.094,1.094,10.28%
2009年8月20日,0.992,0.992,0.992,0.992,0.00%
2009年8月19日,0.992,0.992,0.992,0.992,-3.50%
2009年8月18日,1.028,1.028,1.028,1.028,1.58%
2009年8月17日,1.012,1.012,1.012,1.012,-4.98%
2009年8月14日,1.065,1.065,1.065,1.065,-2.56%
2009年8月13日,1.093,1.093,1.093,1.093,-5.20%
2009年8月12日,1.153,1.153,1.153,1.153,-2.04%
2009年8月11日,1.177,1.177,1.177,1.177,-5.23%
2009年8月10日,1.242,1.242,1.242,1.242,-4.90%
2009年8月7日,1.306,1.306,1.306,1.306,8.47%
2009年8月6日,1.204,1.204,1.204,1.204,-1.31%
2009年8月5日,1.22,1.22,1.22,1.22,1.33%
2009年8月4日,1.204,1.204,1.204,1.204,1.78%
2009年8月3日,1.183,1.183,1.183,1.183,6.48%
2009年7月31日,1.111,1.111,1.111,1.111,-5.37%
2009年7月30日,1.174,1.174,1.174,1.174,0.69%
2009年7月29日,1.166,1.166,1.166,1.166,7.96%
2009年7月28日,1.08,1.08,1.08,1.08,4.05%
2009年7月27日,1.038,1.038,1.038,1.038,3.18%
2009年7月24日,1.006,1.006,1.006,1.006,-1.28%
2009年7月23日,1.019,1.019,1.019,1.019,8.29%
2009年7月22日,0.941,0.941,0.941,0.941,2.17%
2009年7月21日,0.921,0.921,0.921,0.921,-5.44%
2009年7月20日,0.974,0.974,0.974,0.974,-1.72%
2009年7月17日,0.991,0.991,0.991,0.991,1.23%
2009年7月16日,0.979,0.979,0.979,0.979,-4.39%
2009年7月15日,1.024,1.024,1.024,1.024,8.59%
2009年7月14日,0.943,0.943,0.943,0.943,4.78%
2009年7月13日,0.9,0.9,0.9,0.9,0.00%
2009年7月10日,0.9,0.9,0.9,0.9,-3.54%
2009年7月9日,0.933,0.933,0.933,0.933,1.74%
2009年7月8日,0.917,0.917,0.917,0.917,-5.37%
2009年7月7日,0.969,0.969,0.969,0.969,2.11%
2009年7月6日,0.949,0.949,0.949,0.949,-3.65%
2009年7月2日,0.985,0.985,0.985,0.985,-6.19%
2009年7月1日,1.05,1.05,1.05,1.05,-6.00%
2009年6月30日,1.117,1.117,1.117,1.117,1.45%
2009年6月29日,1.101,1.101,1.101,1.101,-0.72%
2009年6月26日,1.109,1.109,1.109,1.109,-1.42%
2009年6月25日,1.125,1.125,1.125,1.125,-7.48%
2009年6月24日,1.216,1.216,1.216,1.216,10.95%
2009年6月23日,1.096,1.096,1.096,1.096,-3.27%
2009年6月22日,1.133,1.133,1.133,1.133,-5.74%
2009年6月19日,1.202,1.202,1.202,1.202,-3.84%
2009年6月18日,1.25,1.25,1.25,1.25,7.48%
2009年6月17日,1.163,1.163,1.163,1.163,-1.69%
2009年6月16日,1.183,1.183,1.183,1.183,-3.66%
2009年6月15日,1.228,1.228,1.228,1.228,-3.46%
2009年6月12日,1.272,1.272,1.272,1.272,-3.85%
2009年6月11日,1.323,1.323,1.323,1.323,-2.65%
2009年6月10日,1.359,1.359,1.359,1.359,3.74%
2009年6月9日,1.31,1.31,1.31,1.31,-7.88%
2009年6月8日,1.422,1.422,1.422,1.422,9.72%
2009年6月5日,1.296,1.296,1.296,1.296,34.58%
2009年6月4日,0.963,0.963,0.963,0.963,5.71%
2009年6月3日,0.911,0.911,0.911,0.911,-4.11%
2009年6月2日,0.95,0.95,0.95,0.95,-0.42%
2009年6月1日,0.954,0.954,0.954,0.954,3.36%
2009年5月29日,0.923,0.923,0.923,0.923,-4.05%
2009年5月28日,0.962,0.962,0.962,0.962,-2.43%
2009年5月27日,0.986,0.986,0.986,0.986,7.64%
2009年5月26日,0.916,0.916,0.916,0.916,2.35%
2009年5月22日,0.895,0.895,0.895,0.895,2.76%
2009年5月21日,0.871,0.871,0.871,0.871,3.94%
2009年5月20日,0.838,0.838,0.838,0.838,-5.95%
2009年5月19日,0.891,0.891,0.891,0.891,-2.62%
2009年5月18日,0.915,0.915,0.915,0.915,6.52%
2009年5月15日,0.859,0.859,0.859,0.859,0.94%
2009年5月14日,0.851,0.851,0.851,0.851,-2.30%
2009年5月13日,0.871,0.871,0.871,0.871,-2.24%
2009年5月12日,0.891,0.891,0.891,0.891,-0.89%
2009年5月11日,0.899,0.899,0.899,0.899,-8.55%
2009年5月8日,0.983,0.983,0.983,0.983,-1.99%
2009年5月7日,1.003,1.003,1.003,1.003,4.15%
2009年5月6日,0.963,0.963,0.963,0.963,-0.41%
2009年5月5日,0.967,0.967,0.967,0.967,2.98%
2009年5月4日,0.939,0.939,0.939,0.939,3.53%
2009年5月1日,0.907,0.907,0.907,0.907,-0.44%
2009年4月30日,0.911,0.911,0.911,0.911,-4.51%
2009年4月29日,0.954,0.954,0.954,0.954,0.42%
2009年4月28日,0.95,0.95,0.95,0.95,7.59%
2009年4月27日,0.883,0.883,0.883,0.883,-8.50%
2009年4月24日,0.965,0.965,0.965,0.965,3.10%
2009年4月23日,0.936,0.936,0.936,0.936,-3.41%
2009年4月22日,0.969,0.969,0.969,0.969,3.09%
2009年4月21日,0.94,0.94,0.94,0.94,2.17%
2009年4月20日,0.92,0.92,0.92,0.92,-6.22%
2009年4月17日,0.981,0.981,0.981,0.981,8.16%
2009年4月16日,0.907,0.907,0.907,0.907,5.59%
2009年4月15日,0.859,0.859,0.859,0.859,0.00%
2009年4月14日,0.859,0.859,0.859,0.859,-2.28%
2009年4月13日,0.879,0.879,0.879,0.879,-8.82%
2009年4月9日,0.964,0.964,0.964,0.964,3.10%
2009年4月8日,0.935,0.935,0.935,0.935,1.74%
2009年4月7日,0.919,0.919,0.919,0.919,-3.77%
2009年4月6日,0.955,0.955,0.955,0.955,-0.42%
2009年4月3日,0.959,0.959,0.959,0.959,7.63%
2009年4月2日,0.891,0.891,0.891,0.891,9.73%
2009年4月1日,0.812,0.812,0.812,0.812,1.00%
2009年3月31日,0.804,0.804,0.804,0.804,-5.96%
2009年3月30日,0.855,0.855,0.855,0.855,-7.67%
2009年3月27日,0.926,0.926,0.926,0.926,0.76%
