Date,Close,Open,High,Low,Increase
2009年12月31日,0.438,0.438,0.438,0.438,4.78%
2009年12月30日,0.418,0.418,0.418,0.418,-5.22%
2009年12月29日,0.441,0.441,0.441,0.441,-1.56%
2009年12月28日,0.448,0.448,0.448,0.448,10.62%
2009年12月24日,0.405,0.405,0.405,0.405,1.76%
2009年12月23日,0.398,0.398,0.398,0.398,0.00%
2009年12月22日,0.398,0.398,0.398,0.398,2.58%
2009年12月21日,0.388,0.388,0.388,0.388,10.86%
2009年12月18日,0.35,0.35,0.35,0.35,3.86%
2009年12月17日,0.337,0.337,0.337,0.337,-10.85%
2009年12月16日,0.378,0.378,0.378,0.378,6.18%
2009年12月15日,0.356,0.356,0.356,0.356,9.20%
2009年12月14日,0.326,0.326,0.326,0.326,4.82%
2009年12月11日,0.311,0.311,0.311,0.311,5.78%
2009年12月10日,0.294,0.294,0.294,0.294,5.76%
2009年12月9日,0.278,0.278,0.278,0.278,4.51%
2009年12月8日,0.266,0.266,0.266,0.266,-8.59%
2009年12月7日,0.291,0.291,0.291,0.291,-11.55%
2009年12月4日,0.329,0.329,0.329,0.329,25.10%
2009年12月3日,0.263,0.263,0.263,0.263,0.00%
2009年12月2日,0.263,0.263,0.263,0.263,8.23%
2009年12月1日,0.243,0.243,0.243,0.243,-2.02%
2009年11月30日,0.248,0.248,0.248,0.248,5.08%
2009年11月27日,0.236,0.236,0.236,0.236,-4.84%
2009年11月25日,0.248,0.248,0.248,0.248,-4.98%
2009年11月24日,0.261,0.261,0.261,0.261,-6.45%
2009年11月23日,0.279,0.279,0.279,0.279,4.89%
2009年11月20日,0.266,0.266,0.266,0.266,2.70%
2009年11月19日,0.259,0.259,0.259,0.259,-10.38%
2009年11月18日,0.289,0.289,0.289,0.289,8.24%
2009年11月17日,0.267,0.267,0.267,0.267,-3.61%
2009年11月16日,0.277,0.277,0.277,0.277,-5.78%
2009年11月13日,0.294,0.294,0.294,0.294,0.68%
2009年11月12日,0.292,0.292,0.292,0.292,-3.31%
2009年11月10日,0.302,0.302,0.302,0.302,-2.58%
2009年11月9日,0.31,0.31,0.31,0.31,0.98%
2009年11月6日,0.307,0.307,0.307,0.307,-4.66%
2009年11月5日,0.322,0.322,0.322,0.322,-3.88%
2009年11月4日,0.335,0.335,0.335,0.335,-4.29%
2009年11月3日,0.35,0.35,0.35,0.35,-2.78%
2009年11月2日,0.36,0.36,0.36,0.36,2.27%
2009年10月30日,0.352,0.352,0.352,0.352,-6.88%
2009年10月29日,0.378,0.378,0.378,0.378,2.72%
2009年10月28日,0.368,0.368,0.368,0.368,-4.42%
2009年10月27日,0.385,0.385,0.385,0.385,-4.47%
2009年10月26日,0.403,0.403,0.403,0.403,2.54%
2009年10月23日,0.393,0.393,0.393,0.393,6.22%
2009年10月22日,0.37,0.37,0.37,0.37,-2.63%
2009年10月21日,0.38,0.38,0.38,0.38,16.56%
2009年10月20日,0.326,0.326,0.326,0.326,-4.40%
2009年10月19日,0.341,0.341,0.341,0.341,3.65%
2009年10月16日,0.329,0.329,0.329,0.329,1.54%
2009年10月15日,0.324,0.324,0.324,0.324,0.93%
2009年10月14日,0.321,0.321,0.321,0.321,-1.53%
2009年10月13日,0.326,0.326,0.326,0.326,-6.59%
2009年10月9日,0.349,0.349,0.349,0.349,7.72%
2009年10月8日,0.324,0.324,0.324,0.324,0.93%
2009年10月7日,0.321,0.321,0.321,0.321,-6.69%
2009年10月6日,0.344,0.344,0.344,0.344,1.47%
2009年10月5日,0.339,0.339,0.339,0.339,-1.45%
2009年10月2日,0.344,0.344,0.344,0.344,0.00%
2009年10月1日,0.344,0.344,0.344,0.344,-10.42%
2009年9月30日,0.384,0.384,0.384,0.384,-1.29%
2009年9月29日,0.389,0.389,0.389,0.389,0.52%
2009年9月28日,0.387,0.387,0.387,0.387,-4.91%
2009年9月25日,0.407,0.407,0.407,0.407,5.17%
2009年9月24日,0.387,0.387,0.387,0.387,-1.78%
2009年9月23日,0.394,0.394,0.394,0.394,8.24%
2009年9月22日,0.364,0.359,0.37,0.357,0.55%
2009年9月21日,0.362,0.37,0.375,0.354,-2.16%
2009年9月18日,0.37,0.365,0.372,0.349,6.63%
2009年9月17日,0.347,0.37,0.377,0.347,-1.42%
2009年9月16日,0.352,0.352,0.352,0.352,-4.86%
2009年9月15日,0.37,0.38,0.38,0.365,1.37%
2009年9月14日,0.365,0.4,0.4,0.359,-1.35%
2009年9月11日,0.37,0.37,0.37,0.37,-0.54%
2009年9月10日,0.372,0.372,0.372,0.372,-3.38%
2009年9月9日,0.385,0.385,0.385,0.385,-3.27%
2009年9月8日,0.398,0.398,0.398,0.398,-2.93%
2009年9月4日,0.41,0.41,0.41,0.41,1.74%
2009年9月3日,0.403,0.395,0.408,0.395,3.33%
2009年9月2日,0.39,0.421,0.421,0.39,-2.50%
2009年9月1日,0.4,0.4,0.4,0.4,-4.99%
2009年8月31日,0.421,0.421,0.421,0.421,-2.32%
2009年8月28日,0.431,0.431,0.431,0.431,-2.27%
2009年8月27日,0.441,0.441,0.441,0.441,-2.22%
2009年8月26日,0.451,0.451,0.451,0.451,7.89%
2009年8月25日,0.418,0.418,0.418,0.418,5.82%
2009年8月24日,0.395,0.395,0.395,0.395,-3.66%
2009年8月21日,0.41,0.41,0.41,0.41,3.80%
2009年8月20日,0.395,0.395,0.395,0.395,-1.99%
2009年8月19日,0.403,0.403,0.403,0.403,-1.71%
2009年8月18日,0.41,0.41,0.41,0.41,-1.20%
2009年8月17日,0.415,0.415,0.415,0.415,0.00%
2009年8月14日,0.415,0.415,0.415,0.415,-2.58%
2009年8月13日,0.426,0.426,0.426,0.426,-3.40%
2009年8月12日,0.441,0.441,0.441,0.441,-2.22%
2009年8月11日,0.451,0.451,0.451,0.451,-3.22%
