Date,Close,Open,High,Low,Increase
2009年12月31日,4.635,4.635,4.635,4.635,0.52%
2009年12月30日,4.611,4.611,4.611,4.611,-0.62%
2009年12月29日,4.64,4.64,4.64,4.64,-1.15%
2009年12月28日,4.694,4.694,4.694,4.694,0.32%
2009年12月24日,4.679,4.679,4.679,4.679,1.52%
2009年12月23日,4.609,4.609,4.609,4.609,-0.13%
2009年12月22日,4.615,4.615,4.615,4.615,1.10%
2009年12月21日,4.565,4.565,4.565,4.565,2.35%
2009年12月18日,4.46,4.46,4.46,4.46,0.93%
2009年12月17日,4.419,4.419,4.419,4.419,-2.39%
2009年12月16日,4.527,4.527,4.527,4.527,0.04%
2009年12月15日,4.525,4.525,4.525,4.525,0.91%
2009年12月14日,4.484,4.484,4.484,4.484,-0.33%
2009年12月11日,4.499,4.499,4.499,4.499,-0.20%
2009年12月10日,4.508,4.508,4.508,4.508,2.08%
2009年12月9日,4.416,4.416,4.416,4.416,0.82%
2009年12月8日,4.38,4.38,4.38,4.38,-0.14%
2009年12月7日,4.386,4.386,4.386,4.386,-0.36%
2009年12月4日,4.402,4.402,4.402,4.402,1.57%
2009年12月3日,4.334,4.334,4.334,4.334,1.88%
2009年12月2日,4.254,4.254,4.254,4.254,-0.40%
2009年12月1日,4.271,4.271,4.271,4.271,1.74%
2009年11月30日,4.198,4.198,4.198,4.198,-0.33%
2009年11月27日,4.212,4.212,4.212,4.212,-0.52%
2009年11月25日,4.234,4.234,4.234,4.234,-0.31%
2009年11月24日,4.247,4.247,4.247,4.247,-0.72%
2009年11月23日,4.278,4.278,4.278,4.278,-0.44%
2009年11月20日,4.297,4.297,4.297,4.297,0.35%
2009年11月19日,4.282,4.282,4.282,4.282,-0.46%
2009年11月18日,4.302,4.302,4.302,4.302,1.10%
2009年11月17日,4.255,4.255,4.255,4.255,-0.70%
2009年11月16日,4.285,4.285,4.285,4.285,-1.70%
2009年11月13日,4.359,4.359,4.359,4.359,-0.75%
2009年11月12日,4.392,4.392,4.392,4.392,-0.50%
2009年11月10日,4.414,4.414,4.414,4.414,0.43%
2009年11月9日,4.395,4.395,4.395,4.395,-0.05%
2009年11月6日,4.397,4.397,4.397,4.397,-0.07%
2009年11月5日,4.4,4.4,4.4,4.4,0.11%
2009年11月4日,4.395,4.395,4.395,4.395,1.45%
2009年11月3日,4.332,4.332,4.332,4.332,1.38%
2009年11月2日,4.273,4.273,4.273,4.273,1.04%
2009年10月30日,4.229,4.229,4.229,4.229,-2.45%
2009年10月29日,4.335,4.335,4.335,4.335,1.76%
2009年10月28日,4.26,4.26,4.26,4.26,-0.51%
2009年10月27日,4.282,4.282,4.282,4.282,-2.04%
2009年10月26日,4.371,4.371,4.371,4.371,1.84%
2009年10月23日,4.292,4.292,4.292,4.292,1.15%
2009年10月22日,4.243,4.243,4.243,4.243,0.66%
2009年10月21日,4.215,4.215,4.215,4.215,1.18%
2009年10月20日,4.166,4.166,4.166,4.166,-0.83%
2009年10月19日,4.201,4.201,4.201,4.201,-0.97%
2009年10月16日,4.242,4.242,4.242,4.242,-1.58%
2009年10月15日,4.31,4.31,4.31,4.31,0.84%
2009年10月14日,4.274,4.274,4.274,4.274,2.00%
2009年10月13日,4.19,4.19,4.19,4.19,-1.09%
2009年10月9日,4.236,4.236,4.236,4.236,3.67%
2009年10月8日,4.086,4.086,4.086,4.086,2.07%
2009年10月7日,4.003,4.003,4.003,4.003,-1.62%
2009年10月6日,4.069,4.069,4.069,4.069,1.40%
2009年10月5日,4.013,4.013,4.013,4.013,0.35%
2009年10月2日,3.999,3.999,3.999,3.999,1.11%
2009年10月1日,3.955,3.955,3.955,3.955,-2.30%
2009年9月30日,4.048,4.048,4.048,4.048,0.75%
2009年9月29日,4.018,4.018,4.018,4.018,-0.27%
2009年9月28日,4.029,4.029,4.029,4.029,-1.56%
2009年9月25日,4.093,4.093,4.093,4.093,-1.89%
2009年9月24日,4.172,4.172,4.172,4.172,-0.50%
2009年9月23日,4.193,4.193,4.193,4.193,-0.02%
2009年9月22日,4.194,4.194,4.194,4.194,-1.01%
2009年9月21日,4.237,4.237,4.237,4.237,0.36%
2009年9月18日,4.222,4.222,4.222,4.222,1.37%
2009年9月17日,4.165,4.165,4.165,4.165,-2.37%
2009年9月16日,4.266,4.266,4.266,4.266,0.21%
2009年9月15日,4.257,4.257,4.257,4.257,0.64%
2009年9月14日,4.23,4.23,4.23,4.23,1.12%
2009年9月11日,4.183,4.183,4.183,4.183,-0.43%
2009年9月10日,4.201,4.201,4.201,4.201,-3.00%
2009年9月9日,4.331,4.331,4.331,4.331,0.30%
2009年9月8日,4.318,4.318,4.318,4.318,1.01%
2009年9月4日,4.275,4.275,4.275,4.275,2.76%
2009年9月3日,4.16,4.16,4.16,4.16,0.90%
2009年9月2日,4.123,4.123,4.123,4.123,-1.74%
2009年9月1日,4.196,4.196,4.196,4.196,0.38%
2009年8月31日,4.18,4.18,4.18,4.18,-0.43%
2009年8月28日,4.198,4.198,4.198,4.198,-0.66%
2009年8月27日,4.226,4.226,4.226,4.226,0.69%
2009年8月26日,4.197,4.197,4.197,4.197,-0.62%
2009年8月25日,4.223,4.223,4.223,4.223,-0.98%
2009年8月24日,4.265,4.265,4.265,4.265,-2.54%
2009年8月21日,4.376,4.376,4.376,4.376,3.21%
2009年8月20日,4.24,4.24,4.24,4.24,-1.10%
2009年8月19日,4.287,4.287,4.287,4.287,-1.58%
2009年8月18日,4.356,4.356,4.356,4.356,0.69%
2009年8月17日,4.326,4.326,4.326,4.326,-2.15%
2009年8月14日,4.421,4.421,4.421,4.421,-0.25%
2009年8月13日,4.432,4.432,4.432,4.432,-2.25%
2009年8月12日,4.534,4.534,4.534,4.534,2.14%
2009年8月11日,4.439,4.439,4.439,4.439,-1.84%
2009年8月10日,4.522,4.522,4.522,4.522,-1.89%
2009年8月7日,4.609,4.609,4.609,4.609,1.61%
2009年8月6日,4.536,4.536,4.536,4.536,-0.57%
2009年8月5日,4.562,4.562,4.562,4.562,2.15%
2009年8月4日,4.466,4.466,4.466,4.466,1.38%
2009年8月3日,4.405,4.405,4.405,4.405,2.49%
2009年7月31日,4.298,4.298,4.298,4.298,-2.72%
2009年7月30日,4.418,4.418,4.418,4.418,-2.06%
2009年7月29日,4.511,4.511,4.511,4.511,-0.86%
2009年7月28日,4.55,4.55,4.55,4.55,-1.66%
2009年7月27日,4.627,4.627,4.627,4.627,1.85%
2009年7月24日,4.543,4.543,4.543,4.543,-0.15%
2009年7月23日,4.55,4.55,4.55,4.55,2.39%
2009年7月22日,4.444,4.444,4.444,4.444,1.28%
2009年7月21日,4.388,4.388,4.388,4.388,-2.83%
2009年7月20日,4.516,4.516,4.516,4.516,-0.59%
2009年7月17日,4.543,4.543,4.543,4.543,2.11%
2009年7月16日,4.449,4.449,4.449,4.449,-1.02%
2009年7月15日,4.495,4.495,4.495,4.495,2.72%
2009年7月14日,4.376,4.376,4.376,4.376,3.21%
2009年7月13日,4.24,4.24,4.24,4.24,1.10%
2009年7月10日,4.194,4.194,4.194,4.194,-2.51%
2009年7月9日,4.302,4.302,4.302,4.302,2.80%
2009年7月8日,4.185,4.185,4.185,4.185,-2.86%
2009年7月7日,4.308,4.308,4.308,4.308,-1.17%
2009年7月6日,4.359,4.359,4.359,4.359,0.74%
2009年7月2日,4.327,4.327,4.327,4.327,-0.25%
2009年7月1日,4.338,4.338,4.338,4.338,0.00%
2009年6月30日,4.338,4.338,4.338,4.338,1.24%
2009年6月29日,4.285,4.285,4.285,4.285,-1.08%
2009年6月26日,4.332,4.332,4.332,4.332,0.00%
2009年6月25日,4.332,4.332,4.332,4.332,-2.39%
2009年6月24日,4.438,4.438,4.438,4.438,1.81%
2009年6月23日,4.359,4.359,4.359,4.359,-1.78%
2009年6月22日,4.438,4.438,4.438,4.438,-1.51%
2009年6月19日,4.506,4.506,4.506,4.506,-1.77%
2009年6月18日,4.587,4.587,4.587,4.587,1.57%
2009年6月17日,4.516,4.516,4.516,4.516,1.14%
2009年6月16日,4.465,4.465,4.465,4.465,-2.17%
2009年6月15日,4.564,4.564,4.564,4.564,-1.74%
2009年6月12日,4.645,4.645,4.645,4.645,-1.17%
2009年6月11日,4.7,4.7,4.7,4.7,-1.34%
2009年6月10日,4.764,4.764,4.764,4.764,2.32%
2009年6月9日,4.656,4.656,4.656,4.656,0.34%
2009年6月8日,4.64,4.64,4.64,4.64,-0.04%
2009年6月5日,4.642,4.642,4.642,4.642,1.22%
2009年6月4日,4.586,4.586,4.586,4.586,3.24%
2009年6月3日,4.442,4.442,4.442,4.442,-0.91%
2009年6月2日,4.483,4.483,4.483,4.483,-1.21%
2009年6月1日,4.538,4.538,4.538,4.538,4.76%
2009年5月29日,4.332,4.332,4.332,4.332,-3.56%
2009年5月28日,4.492,4.492,4.492,4.492,-3.42%
2009年5月27日,4.651,4.651,4.651,4.651,3.47%
2009年5月26日,4.495,4.495,4.495,4.495,2.53%
2009年5月22日,4.384,4.384,4.384,4.384,1.11%
2009年5月21日,4.336,4.336,4.336,4.336,4.63%
2009年5月20日,4.144,4.144,4.144,4.144,-1.54%
2009年5月19日,4.209,4.209,4.209,4.209,0.17%
2009年5月18日,4.202,4.202,4.202,4.202,2.86%
2009年5月15日,4.085,4.085,4.085,4.085,0.84%
2009年5月14日,4.051,4.051,4.051,4.051,-1.00%
2009年5月13日,4.092,4.092,4.092,4.092,-1.71%
2009年5月12日,4.163,4.163,4.163,4.163,-0.24%
2009年5月11日,4.173,4.173,4.173,4.173,-2.25%
2009年5月8日,4.269,4.269,4.269,4.269,-0.86%
2009年5月7日,4.306,4.306,4.306,4.306,5.31%
2009年5月6日,4.089,4.089,4.089,4.089,0.71%
2009年5月5日,4.06,4.06,4.06,4.06,0.02%
2009年5月4日,4.059,4.059,4.059,4.059,-0.49%
2009年5月1日,4.079,4.079,4.079,4.079,0.99%
2009年4月30日,4.039,4.039,4.039,4.039,0.25%
2009年4月29日,4.029,4.029,4.029,4.029,1.87%
2009年4月28日,3.955,3.955,3.955,3.955,3.16%
2009年4月27日,3.834,3.834,3.834,3.834,-1.21%
2009年4月24日,3.881,3.881,3.881,3.881,2.29%
2009年4月23日,3.794,3.794,3.794,3.794,-0.47%
2009年4月22日,3.812,3.812,3.812,3.812,1.79%
2009年4月21日,3.745,3.745,3.745,3.745,1.33%
2009年4月20日,3.696,3.696,3.696,3.696,-2.86%
2009年4月17日,3.805,3.805,3.805,3.805,2.20%
2009年4月16日,3.723,3.723,3.723,3.723,1.67%
2009年4月15日,3.662,3.662,3.662,3.662,0.08%
2009年4月14日,3.659,3.659,3.659,3.659,-1.59%
2009年4月13日,3.718,3.718,3.718,3.718,-0.77%
2009年4月9日,3.747,3.747,3.747,3.747,2.01%
2009年4月8日,3.673,3.673,3.673,3.673,-1.02%
2009年4月7日,3.711,3.711,3.711,3.711,-0.46%
2009年4月6日,3.728,3.728,3.728,3.728,0.76%
2009年4月3日,3.7,3.7,3.7,3.7,3.32%
2009年4月2日,3.581,3.581,3.581,3.581,2.34%
2009年4月1日,3.499,3.499,3.499,3.499,-1.07%
2009年3月31日,3.537,3.537,3.537,3.537,-1.78%
2009年3月30日,3.601,3.601,3.601,3.601,-0.47%
2009年3月27日,3.618,3.618,3.618,3.618,-1.09%
2009年3月26日,3.658,3.658,3.658,3.658,-2.30%
2009年3月25日,3.744,3.744,3.744,3.744,3.00%
2009年3月24日,3.635,3.635,3.635,3.635,-1.52%
2009年3月23日,3.691,3.691,3.691,3.691,1.01%
2009年3月20日,3.654,3.654,3.654,3.654,0.50%
2009年3月19日,3.636,3.636,3.636,3.636,2.65%
2009年3月18日,3.542,3.542,3.542,3.542,-7.45%
2009年3月17日,3.827,3.827,3.827,3.827,1.78%
2009年3月16日,3.76,3.76,3.76,3.76,2.26%
2009年3月13日,3.677,3.677,3.677,3.677,1.80%
2009年3月12日,3.612,3.612,3.612,3.612,-1.34%
2009年3月11日,3.661,3.661,3.661,3.661,-1.82%
2009年3月10日,3.729,3.729,3.729,3.729,4.34%
2009年3月9日,3.574,3.574,3.574,3.574,0.45%
