Date,Close,Open,High,Low,Increase
2009年7月28日,0.198,0.198,0.198,0.198,2.59%
2009年7月27日,0.193,0.193,0.193,0.193,2.66%
2009年7月24日,0.188,0.188,0.188,0.188,0.00%
2009年7月23日,0.188,0.188,0.188,0.188,0.00%
2009年7月22日,0.188,0.188,0.188,0.188,0.00%
2009年7月21日,0.188,0.188,0.188,0.188,9.30%
2009年7月20日,0.172,0.172,0.172,0.172,0.00%
2009年7月17日,0.172,0.172,0.172,0.172,0.00%
2009年7月16日,0.172,0.172,0.172,0.172,-6.01%
2009年7月15日,0.183,0.183,0.183,0.183,0.00%
2009年7月14日,0.183,0.183,0.183,0.183,0.00%
2009年7月13日,0.183,0.183,0.183,0.183,3.39%
2009年7月10日,0.177,0.177,0.177,0.177,-3.28%
2009年7月9日,0.183,0.183,0.183,0.183,-1.08%
2009年7月8日,0.185,0.185,0.185,0.185,-1.60%
2009年7月7日,0.188,0.188,0.188,0.188,16.05%
2009年7月6日,0.162,0.162,0.162,0.162,0.00%
2009年7月2日,0.162,0.162,0.162,0.162,-5.81%
2009年7月1日,0.172,0.172,0.172,0.172,-10.88%
2009年6月30日,0.193,0.193,0.193,0.193,5.46%
2009年6月29日,0.183,0.183,0.183,0.183,-2.66%
2009年6月26日,0.188,0.188,0.188,0.188,9.30%
2009年6月25日,0.172,0.172,0.172,0.172,-13.13%
2009年6月24日,0.198,0.198,0.198,0.198,-3.41%
2009年6月23日,0.205,0.205,0.205,0.205,6.22%
2009年6月22日,0.193,0.193,0.193,0.193,7.22%
2009年6月19日,0.18,0.18,0.18,0.18,1.69%
2009年6月18日,0.177,0.177,0.177,0.177,2.91%
2009年6月17日,0.172,0.172,0.172,0.172,-1.71%
2009年6月16日,0.175,0.175,0.175,0.175,8.02%
2009年6月15日,0.162,0.162,0.162,0.162,-5.81%
2009年6月12日,0.172,0.172,0.172,0.172,-2.82%
2009年6月11日,0.177,0.177,0.177,0.177,0.00%
2009年6月10日,0.177,0.177,0.177,0.177,-3.28%
2009年6月9日,0.183,0.183,0.183,0.183,1.67%
2009年6月8日,0.18,0.18,0.18,0.18,-5.26%
2009年6月5日,0.19,0.19,0.19,0.19,26.67%
2009年6月4日,0.15,0.15,0.15,0.15,13.64%
2009年6月3日,0.132,0.132,0.132,0.132,-1.49%
2009年6月2日,0.134,0.134,0.134,0.134,35.35%
2009年6月1日,0.099,0.099,0.099,0.099,-27.74%
2009年5月29日,0.137,0.137,0.137,0.137,-5.52%
2009年5月28日,0.145,0.145,0.145,0.145,-10.49%
2009年5月27日,0.162,0.162,0.162,0.162,-8.47%
2009年5月26日,0.177,0.177,0.177,0.177,-3.28%
2009年5月22日,0.183,0.183,0.183,0.183,0.00%
2009年5月21日,0.183,0.183,0.183,0.183,0.00%
2009年5月20日,0.183,0.183,0.183,0.183,0.00%
2009年5月19日,0.183,0.183,0.183,0.183,6.40%
2009年5月18日,0.172,0.172,0.172,0.172,4.24%
2009年5月15日,0.165,0.165,0.165,0.165,1.85%
2009年5月14日,0.162,0.162,0.162,0.162,-8.47%
2009年5月13日,0.177,0.177,0.177,0.177,-5.85%
2009年5月12日,0.188,0.188,0.188,0.188,10.59%
2009年5月11日,0.17,0.17,0.17,0.17,-5.56%
2009年5月8日,0.18,0.18,0.18,0.18,-4.26%
2009年5月7日,0.188,0.188,0.188,0.188,0.00%
2009年5月6日,0.188,0.188,0.188,0.188,-2.59%
2009年5月5日,0.193,0.193,0.193,0.193,2.66%
2009年5月4日,0.188,0.188,0.188,0.188,21.29%
2009年5月1日,0.155,0.155,0.155,0.155,17.42%
2009年4月30日,0.132,0.132,0.132,0.132,30.69%
2009年4月29日,0.101,0.101,0.101,0.101,-20.47%
2009年4月28日,0.127,0.127,0.127,0.127,32.29%
2009年4月27日,0.096,0.096,0.096,0.096,-9.43%
2009年4月24日,0.106,0.106,0.106,0.106,0.00%
2009年4月23日,0.106,0.106,0.106,0.106,-22.63%
2009年4月22日,0.137,0.137,0.137,0.137,-9.87%
2009年4月21日,0.152,0.152,0.152,0.152,15.15%
2009年4月20日,0.132,0.132,0.132,0.132,-7.04%
2009年4月17日,0.142,0.142,0.142,0.142,3.65%
2009年4月16日,0.137,0.137,0.137,0.137,-9.87%
2009年4月15日,0.152,0.152,0.152,0.152,-14.12%
2009年4月14日,0.177,0.177,0.177,0.177,0.00%
2009年4月13日,0.177,0.177,0.177,0.177,-5.85%
2009年4月9日,0.188,0.188,0.188,0.188,2.73%
2009年4月8日,0.183,0.183,0.183,0.183,-7.58%
2009年4月7日,0.198,0.198,0.198,0.198,2.59%
2009年4月6日,0.193,0.193,0.193,0.193,-7.21%
2009年4月3日,0.208,0.208,0.208,0.208,-2.35%
2009年4月2日,0.213,0.213,0.213,0.213,2.40%
2009年4月1日,0.208,0.208,0.208,0.208,0.00%
2009年3月31日,0.208,0.208,0.208,0.208,46.48%
2009年3月30日,0.142,0.142,0.142,0.142,3.65%
2009年3月27日,0.137,0.137,0.137,0.137,-6.80%
2009年3月26日,0.147,0.147,0.147,0.147,-23.83%
2009年3月25日,0.193,0.193,0.193,0.193,-9.39%
2009年3月24日,0.213,0.213,0.213,0.213,2.40%
2009年3月23日,0.208,0.208,0.208,0.208,0.00%
2009年3月20日,0.208,0.208,0.208,0.208,5.05%
2009年3月19日,0.198,0.198,0.198,0.198,-4.81%
2009年3月18日,0.208,0.208,0.208,0.208,-12.61%
2009年3月17日,0.238,0.238,0.238,0.238,2.15%
2009年3月16日,0.233,0.233,0.233,0.233,12.02%
2009年3月13日,0.208,0.208,0.208,0.208,2.46%
2009年3月12日,0.203,0.203,0.203,0.203,-10.96%
2009年3月11日,0.228,0.228,0.228,0.228,-6.17%
2009年3月10日,0.243,0.243,0.243,0.243,14.08%
2009年3月9日,0.213,0.213,0.213,0.213,2.40%
2009年3月6日,0.208,0.208,0.208,0.208,13.66%
2009年3月5日,0.183,0.183,0.183,0.183,-27.95%
2009年3月4日,0.254,0.254,0.254,0.254,-3.79%
2009年3月3日,0.264,0.264,0.264,0.264,8.64%
2009年3月2日,0.243,0.243,0.243,0.243,-4.33%
2009年2月27日,0.254,0.254,0.254,0.254,-7.30%
2009年2月26日,0.274,0.274,0.274,0.274,-9.87%
2009年2月25日,0.304,0.304,0.304,0.304,1.67%
2009年2月24日,0.299,0.299,0.299,0.299,7.17%
2009年2月23日,0.279,0.279,0.279,0.279,1.82%
2009年2月20日,0.274,0.274,0.274,0.274,-11.61%
2009年2月19日,0.31,0.31,0.31,0.31,-1.59%
2009年2月18日,0.315,0.315,0.315,0.315,5.35%
2009年2月17日,0.299,0.299,0.299,0.299,-1.64%
2009年2月13日,0.304,0.304,0.304,0.304,1.67%
2009年2月12日,0.299,0.299,0.299,0.299,-6.56%
2009年2月11日,0.32,0.32,0.32,0.32,0.00%
2009年2月10日,0.32,0.32,0.32,0.32,12.68%
2009年2月9日,0.284,0.284,0.284,0.284,-3.40%
2009年2月6日,0.294,0.294,0.294,0.294,0.00%
2009年2月5日,0.294,0.294,0.294,0.294,-3.29%
2009年2月4日,0.304,0.304,0.304,0.304,-5.00%
2009年2月3日,0.32,0.32,0.32,0.32,21.21%
2009年2月2日,0.264,0.264,0.264,0.264,8.64%
2009年1月30日,0.243,0.243,0.243,0.243,6.58%
2009年1月29日,0.228,0.228,0.228,0.228,24.59%
2009年1月28日,0.183,0.183,0.183,0.183,28.87%
2009年1月27日,0.142,0.142,0.142,0.142,21.37%
2009年1月26日,0.117,0.117,0.117,0.117,15.84%
2009年1月23日,0.101,0.101,0.101,0.101,-4.72%
2009年1月22日,0.106,0.106,0.106,0.106,-13.11%
2009年1月21日,0.122,0.122,0.122,0.122,4.27%
2009年1月20日,0.117,0.117,0.117,0.117,0.00%
2009年1月16日,0.117,0.117,0.117,0.117,10.38%
2009年1月15日,0.106,0.106,0.106,0.106,0.00%
2009年1月14日,0.106,0.106,0.106,0.106,-9.40%
2009年1月13日,0.117,0.117,0.117,0.117,77.27%
2009年1月12日,0.066,0.066,0.066,0.066,0.00%
2009年1月9日,0.066,0.066,0.066,0.066,-18.52%
2009年1月8日,0.081,0.081,0.081,0.081,-19.80%
2009年1月7日,0.101,0.101,0.101,0.101,-26.28%
2009年1月6日,0.137,0.137,0.137,0.137,50.55%
2009年1月5日,0.091,0.091,0.091,0.091,12.35%
2009年1月2日,0.081,0.081,0.081,0.081,-36.22%
2008年12月31日,0.127,0.127,0.127,0.127,56.79%
2008年12月30日,0.081,0.081,0.081,0.081,305.00%
2008年12月29日,0.02,0.02,0.02,0.02,0.00%
2008年12月26日,0.02,0.02,0.02,0.02,33.33%
2008年12月24日,0.015,0.015,0.015,0.015,0.00%
2008年12月23日,0.015,0.015,0.015,0.015,0.00%
2008年12月22日,0.015,0.015,0.015,0.015,-25.00%
2008年12月19日,0.02,0.02,0.02,0.02,300.00%
2008年12月18日,0.005,0.005,0.005,0.005,0.00%
2008年12月17日,0.005,0.005,0.005,0.005,-66.67%
2008年12月16日,0.015,0.015,0.015,0.015,-40.00%
2008年12月15日,0.025,0.025,0.025,0.025,-30.56%
2008年12月12日,0.036,0.036,0.036,0.036,620.00%
2008年12月11日,0.005,0.005,0.005,0.005,-66.67%
2008年12月10日,0.015,0.015,0.015,0.015,-50.00%
2008年12月9日,0.03,0.03,0.03,0.03,275.00%
2008年12月8日,0.008,0.008,0.008,0.008,-68.00%
2008年12月5日,0.025,0.025,0.025,0.025,38.89%
2008年12月4日,0.018,0.018,0.018,0.018,20.00%
2008年12月3日,0.015,0.015,0.015,0.015,-57.14%
2008年12月2日,0.035,0.035,0.035,0.035,40.00%
2008年12月1日,0.025,0.025,0.025,0.025,-30.56%
2008年11月28日,0.036,0.036,0.036,0.036,-49.30%
2008年11月26日,0.071,0.071,0.071,0.071,-41.80%
2008年11月25日,0.122,0.122,0.122,0.122,388.00%
2008年11月24日,0.025,0.025,0.025,0.025,-16.67%
2008年11月21日,0.03,0.03,0.03,0.03,50.00%
2008年11月20日,0.02,0.02,0.02,0.02,-67.21%
2008年11月19日,0.061,0.061,0.061,0.061,-53.79%
2008年11月18日,0.132,0.132,0.132,0.132,30.69%
2008年11月17日,0.101,0.101,0.101,0.101,-17.21%
2008年11月14日,0.122,0.122,0.122,0.122,-38.38%
2008年11月13日,0.198,0.198,0.198,0.198,34.69%
2008年11月12日,0.147,0.147,0.147,0.147,-34.08%
2008年11月10日,0.223,0.223,0.223,0.223,-21.48%
2008年11月7日,0.284,0.284,0.284,0.284,-6.58%
2008年11月6日,0.304,0.304,0.304,0.304,-25.12%
2008年11月5日,0.406,0.406,0.406,0.406,-16.63%
2008年11月4日,0.487,0.487,0.487,0.487,7.74%
2008年11月3日,0.452,0.452,0.452,0.452,2.26%
2008年10月31日,0.442,0.442,0.442,0.442,22.78%
2008年10月30日,0.36,0.36,0.36,0.36,-34.90%
2008年10月29日,0.553,0.553,0.553,0.553,-28.83%
2008年10月28日,0.777,0.777,0.777,0.777,3.32%
2008年10月27日,0.752,0.752,0.752,0.752,-14.45%
2008年10月24日,0.879,0.879,0.879,0.879,-9.94%
2008年10月23日,0.976,0.976,0.976,0.976,-5.43%
2008年10月22日,1.032,1.032,1.032,1.032,-5.15%
2008年10月21日,1.088,1.088,1.088,1.088,-0.46%
2008年10月20日,1.093,1.093,1.093,1.093,35.27%
2008年10月17日,0.808,0.808,0.808,0.808,62.58%
2008年10月16日,0.497,0.497,0.497,0.497,117.98%
2008年10月15日,0.228,0.228,0.228,0.228,-15.24%
