Date,Close,Open,High,Low,Increase
2009年7月27日,2.589,2.589,2.589,2.589,2.33%
2009年7月24日,2.53,2.53,2.53,2.53,-0.32%
2009年7月23日,2.538,2.538,2.538,2.538,5.97%
2009年7月22日,2.395,2.395,2.395,2.395,2.48%
2009年7月21日,2.337,2.337,2.337,2.337,-4.92%
2009年7月20日,2.458,2.458,2.458,2.458,-1.88%
2009年7月17日,2.505,2.505,2.505,2.505,2.20%
2009年7月16日,2.451,2.451,2.451,2.451,-2.62%
2009年7月15日,2.517,2.517,2.517,2.517,6.83%
2009年7月14日,2.356,2.356,2.356,2.356,4.25%
2009年7月13日,2.26,2.26,2.26,2.26,1.99%
2009年7月10日,2.216,2.216,2.216,2.216,-4.73%
2009年7月9日,2.326,2.326,2.326,2.326,4.30%
2009年7月8日,2.23,2.23,2.23,2.23,-5.39%
2009年7月7日,2.357,2.357,2.357,2.357,-1.67%
2009年7月6日,2.397,2.397,2.397,2.397,-1.24%
2009年7月2日,2.427,2.427,2.427,2.427,-3.84%
2009年7月1日,2.524,2.524,2.524,2.524,-1.41%
2009年6月30日,2.56,2.56,2.56,2.56,1.67%
2009年6月29日,2.518,2.518,2.518,2.518,-1.37%
2009年6月26日,2.553,2.553,2.553,2.553,-1.24%
2009年6月25日,2.585,2.585,2.585,2.585,-5.21%
2009年6月24日,2.727,2.727,2.727,2.727,1.87%
2009年6月23日,2.677,2.677,2.677,2.677,-0.93%
2009年6月22日,2.702,2.702,2.702,2.702,-3.15%
2009年6月19日,2.79,2.79,2.79,2.79,-1.24%
2009年6月18日,2.825,2.825,2.825,2.825,5.53%
2009年6月17日,2.677,2.677,2.677,2.677,0.45%
2009年6月16日,2.665,2.665,2.665,2.665,-2.06%
2009年6月15日,2.721,2.721,2.721,2.721,-2.30%
2009年6月12日,2.785,2.785,2.785,2.785,-2.21%
2009年6月11日,2.848,2.848,2.848,2.848,-2.50%
2009年6月10日,2.921,2.921,2.921,2.921,1.67%
2009年6月9日,2.873,2.873,2.873,2.873,-2.74%
2009年6月8日,2.954,2.954,2.954,2.954,4.23%
2009年6月5日,2.834,2.834,2.834,2.834,9.72%
2009年6月4日,2.583,2.583,2.583,2.583,6.56%
