Date,Close,Open,High,Low,Increase
2009年12月31日,0.195,0.195,0.195,0.195,1.56%
2009年12月30日,0.192,0.192,0.192,0.192,-7.25%
2009年12月29日,0.207,0.207,0.207,0.207,1.97%
2009年12月28日,0.203,0.203,0.203,0.203,12.78%
2009年12月24日,0.18,0.18,0.18,0.18,2.27%
2009年12月23日,0.176,0.176,0.176,0.176,2.92%
2009年12月22日,0.171,0.171,0.171,0.171,0.59%
2009年12月21日,0.17,0.17,0.17,0.17,4.94%
2009年12月18日,0.162,0.162,0.162,0.162,3.18%
2009年12月17日,0.157,0.157,0.157,0.157,-5.42%
2009年12月16日,0.166,0.166,0.166,0.166,0.00%
2009年12月15日,0.166,0.166,0.166,0.166,2.47%
2009年12月14日,0.162,0.162,0.162,0.162,0.00%
2009年12月11日,0.162,0.162,0.162,0.162,4.52%
2009年12月10日,0.155,0.155,0.155,0.155,6.16%
2009年12月9日,0.146,0.146,0.146,0.146,0.00%
2009年12月8日,0.146,0.146,0.146,0.146,-5.81%
2009年12月7日,0.155,0.155,0.155,0.155,-11.43%
2009年12月4日,0.175,0.175,0.175,0.175,15.13%
2009年12月3日,0.152,0.152,0.152,0.152,1.33%
2009年12月2日,0.15,0.15,0.15,0.15,1.35%
2009年12月1日,0.148,0.148,0.148,0.148,-4.52%
2009年11月30日,0.155,0.155,0.155,0.155,13.14%
2009年11月27日,0.137,0.137,0.137,0.137,-4.86%
2009年11月25日,0.144,0.144,0.144,0.144,3.60%
2009年11月24日,0.139,0.139,0.139,0.139,-2.11%
2009年11月23日,0.142,0.142,0.142,0.142,5.97%
2009年11月20日,0.134,0.134,0.134,0.134,2.29%
2009年11月19日,0.131,0.131,0.131,0.131,-10.27%
2009年11月18日,0.146,0.146,0.146,0.146,-10.98%
2009年11月17日,0.164,0.164,0.164,0.164,1.23%
2009年11月16日,0.162,0.162,0.162,0.162,0.00%
2009年11月13日,0.162,0.162,0.162,0.162,1.89%
2009年11月12日,0.159,0.159,0.159,0.159,-3.05%
2009年11月10日,0.164,0.164,0.164,0.164,1.23%
2009年11月9日,0.162,0.162,0.162,0.162,3.18%
2009年11月6日,0.157,0.157,0.157,0.157,0.64%
2009年11月5日,0.156,0.156,0.156,0.156,0.00%
2009年11月4日,0.156,0.156,0.156,0.156,-6.59%
2009年11月3日,0.167,0.167,0.167,0.167,4.37%
2009年11月2日,0.16,0.16,0.16,0.16,-1.23%
2009年10月30日,0.162,0.162,0.162,0.162,-4.71%
2009年10月29日,0.17,0.17,0.17,0.17,4.29%
2009年10月28日,0.163,0.163,0.163,0.163,-4.68%
2009年10月27日,0.171,0.171,0.171,0.171,-5.00%
2009年10月26日,0.18,0.18,0.18,0.18,4.65%
2009年10月23日,0.172,0.172,0.172,0.172,9.55%
2009年10月22日,0.157,0.157,0.157,0.157,-8.19%
2009年10月21日,0.171,0.171,0.171,0.171,0.00%
2009年10月20日,0.171,0.171,0.171,0.171,2.40%
2009年10月19日,0.167,0.167,0.167,0.167,6.37%
2009年10月16日,0.157,0.157,0.157,0.157,4.67%
2009年10月15日,0.15,0.15,0.15,0.15,1.35%
2009年10月14日,0.148,0.148,0.148,0.148,-1.33%
2009年10月13日,0.15,0.15,0.15,0.15,-7.41%
2009年10月9日,0.162,0.162,0.162,0.162,10.20%
2009年10月8日,0.147,0.147,0.147,0.147,2.80%
2009年10月7日,0.143,0.143,0.143,0.143,-3.38%
2009年10月6日,0.148,0.148,0.148,0.148,8.03%
2009年10月5日,0.137,0.137,0.137,0.137,-6.80%
2009年10月2日,0.147,0.147,0.147,0.147,-5.16%
2009年10月1日,0.155,0.155,0.155,0.155,-10.40%
2009年9月30日,0.173,0.173,0.173,0.173,-6.99%
2009年9月29日,0.186,0.186,0.186,0.186,3.33%
2009年9月28日,0.18,0.18,0.18,0.18,-7.69%
